Region;Places_reporting_cases;Sum_of_Cases;Sum_of_Deaths;Confirmed_cases_in_the_last_15_days
Africa;South_Africa;402;0;399
Africa;Egypt;327;14;278
Africa;Algeria;189;17;169
Africa;Morocco;134;4;132
Africa;Tunisia;89;3;88
Africa;Senegal;79;0;75
Africa;Burkina_Faso;75;3;75
Africa;Cameroon;56;0;54
Africa;Nigeria;40;1;39
Africa;Rwanda;36;0;36
Africa;Ghana;27;2;27
Africa;Democratic_Republic_of_the_Congo;26;2;26
Africa;Cote_dIvoire;25;0;25
Africa;Togo;18;0;17
Africa;Madagascar;17;0;17
Africa;Kenya;16;0;16
Africa;United_Republic_of_Tanzania;12;0;12
Africa;Ethiopia;11;0;11
Africa;Equatorial_Guinea;9;0;9
Africa;Uganda;9;0;9
Africa;Seychelles;7;0;7
Africa;Gabon;6;1;6
Africa;Benin;5;0;5
Africa;Congo;4;0;4
Africa;Eswatini;4;0;4
Africa;Central_African_Republic;4;0;4
Africa;Namibia;3;0;3
Africa;Liberia;3;0;3
Africa;Djibouti;3;0;3
Africa;Zambia;3;0;3
Africa;Cape_Verde;3;0;3
Africa;Sudan;2;1;2
Africa;Gambia;2;1;2
Africa;Zimbabwe;2;1;2
Africa;Guinea;2;0;2
Africa;Mauritania;2;0;2
Africa;Chad;2;0;2
Africa;Niger;2;0;2
Africa;Angola;2;0;2
Africa;Somalia;1;0;1
Africa;Eritrea;1;0;1
Africa;Mozambique;1;0;1
America;United_States_of_America;46442;590;45888
America;Brazil;1891;34;1866
America;Canada;1646;24;1584
America;Ecuador;981;18;967
America;Chile;746;2;736
America;Peru;395;5;388
America;Mexico;367;4;360
America;Panama;345;6;345
America;Argentina;301;4;289
America;Dominican_Republic;245;3;243
America;Colombia;235;3;234
America;Uruguay;162;0;162
America;Costa_Rica;158;2;153
America;Venezuela;84;0;84
America;Trinidad_and_Tobago;51;0;51
America;Cuba;40;1;40
America;Honduras;30;0;30
America;Bolivia;28;0;28
America;Paraguay;27;1;26
America;Guatemala;20;1;20
America;Jamaica;19;0;19
America;Barbados;17;0;17
America;Netherlands_Antilles;17;0;17
America;United_States_Virgin_Islands;17;0;17
America;Guyana;6;1;6
America;Suriname;6;0;6
America;Bermuda;6;0;6
America;El_Salvador;5;0;5
America;Haiti;5;0;5
America;Bahamas;4;0;4
America;Greenland;4;0;4
America;Cayman_Islands;3;1;3
America;Saint_Lucia;2;0;2
America;Nicaragua;2;0;2
America;Antigua_and_Barbuda;1;0;1
America;Saint_Vincent_and_the_Grenadines;1;0;1
America;Montserrat;1;0;1
America;Grenada;1;0;1
America;Dominica;1;0;1
America;Belize;1;0;1
Asia;China;81748;3283;889
Asia;Iran;23049;1812;16483
Asia;South_Korea;9037;120;1655
Asia;Malaysia;1518;14;1419
Asia;Israel;1442;1;1403
Asia;Japan;1128;42;640
Asia;Pakistan;887;6;881
Asia;Thailand;827;4;777
Asia;Indonesia;579;49;573
Asia;Saudi_Arabia;562;0;551
Asia;Singapore;509;2;359
Asia;Qatar;501;0;486
Asia;India;492;9;458
Asia;Philippines;462;33;452
Asia;Bahrain;339;2;260
Asia;Lebanon;267;4;235
Asia;Iraq;266;23;205
Asia;United_Arab_Emirates;198;2;153
Asia;Taiwan;195;2;150
Asia;Kuwait;189;0;125
Asia;Vietnam;123;0;93
Asia;Jordan;112;0;111
Asia;Sri_Lanka;97;0;96
