%Ano	Dia	Janeiro_I
2008	1	598
2008	2	165
2008	3	165
2008	4	129
2008	5	88
2008	6	100
2008	7	159
2008	8	159
2008	9	153
2008	10	141
2008	11	137
2008	12	97
2008	13	99
2008	14	201
2008	15	173
2008	16	144
2008	17	156
2008	18	118
2008	19	80
2008	20	94
2008	21	186
2008	22	177
2008	23	159
2008	24	130
2008	25	98
2008	26	80
2008	27	87
2008	28	167
2008	29	122
2008	30	155
2008	31	171
2009	1	78
2009	2	89
2009	3	87
2009	4	122
2009	5	196
2009	6	155
2009	7	192
2009	8	155
2009	9	143
2009	10	102
2009	11	88
2009	12	182
2009	13	182
2009	14	167
2009	15	163
2009	16	137
2009	17	90
2009	18	97
2009	19	176
2009	20	156
2009	21	157
2009	22	148
2009	23	140
2009	24	99
2009	25	90
2009	26	203
2009	27	163
2009	28	189
2009	29	144
2009	30	138
2009	31	106
2010	1	71
2010	2	105
2010	3	128
2010	4	207
2010	5	201
2010	6	196
2010	7	203
2010	8	161
2010	9	110
2010	10	128
2010	11	178
2010	12	206
2010	13	188
2010	14	207
2010	15	159
2010	16	112
2010	17	131
2010	18	189
2010	19	185
2010	20	195
2010	21	207
2010	22	147
2010	23	96
2010	24	91
2010	25	114
2010	26	186
2010	27	185
2010	28	152
2010	29	131
2010	30	113
2010	31	123
2011	1	96
2011	2	102
2011	3	197
2011	4	203
2011	5	210
2011	6	207
2011	7	166
2011	8	95
2011	9	108
2011	10	206
2011	11	190
2011	12	187
2011	13	195
2011	14	161
2011	15	120
2011	16	119
2011	17	218
2011	18	191
2011	19	201
2011	20	174
2011	21	165
2011	22	123
2011	23	91
2011	24	127
2011	25	119
2011	26	190
2011	27	199
2011	28	143
2011	29	113
2011	30	97
2011	31	177
2012	1	109
2012	2	192
2012	3	215
2012	4	210
2012	5	210
2012	6	167
2012	7	119
2012	8	117
2012	9	203
2012	10	191
2012	11	187
2012	12	194
2012	13	185
2012	14	101
2012	15	112
2012	16	206
2012	17	200
2012	18	199
2012	19	181
2012	20	193
2012	21	110
2012	22	106
2012	23	204
2012	24	182
2012	25	121
2012	26	182
2012	27	172
2012	28	115
2012	29	113
2012	30	195
2012	31	182
2013	1	607
2013	2	176
2013	3	193
2013	4	159
2013	5	100
2013	6	122
2013	7	214
2013	8	192
2013	9	178
2013	10	175
2013	11	155
2013	12	111
2013	13	122
2013	14	208
2013	15	189
2013	16	217
2013	17	186
2013	18	165
2013	19	120
2013	20	119
2013	21	189
2013	22	213
2013	23	168
2013	24	162
2013	25	83
2013	26	106
2013	27	115
2013	28	221
2013	29	188
2013	30	161
2013	31	185
2014	1	134
2014	2	191
2014	3	136
2014	4	102
2014	5	115
2014	6	204
2014	7	173
2014	8	193
2014	9	202
2014	10	137
2014	11	93
2014	12	110
2014	13	194
2014	14	172
2014	15	192
2014	16	207
2014	17	159
2014	18	106
2014	19	100
2014	20	203
2014	21	185
2014	22	184
2014	23	187
2014	24	155
2014	25	73
2014	26	91
2014	27	198
2014	28	163
2014	29	175
2014	30	147
2014	31	127
