%Ano	Dia	Janeiro_J
2008	1	159
2008	2	91
2008	3	95
2008	4	87
2008	5	66
2008	6	68
2008	7	97
2008	8	126
2008	9	95
2008	10	123
2008	11	98
2008	12	65
2008	13	48
2008	14	75
2008	15	107
2008	16	87
2008	17	105
2008	18	86
2008	19	62
2008	20	65
2008	21	96
2008	22	82
2008	23	78
2008	24	94
2008	25	54
2008	26	64
2008	27	47
2008	28	79
2008	29	97
2008	30	102
2008	31	108
2009	1	64
2009	2	99
2009	3	77
2009	4	82
2009	5	118
2009	6	102
2009	7	97
2009	8	111
2009	9	104
2009	10	88
2009	11	77
2009	12	106
2009	13	112
2009	14	108
2009	15	106
2009	16	115
2009	17	74
2009	18	70
2009	19	102
2009	20	111
2009	21	97
2009	22	98
2009	23	99
2009	24	69
2009	25	65
2009	26	105
2009	27	103
2009	28	106
2009	29	111
2009	30	95
2009	31	84
2010	1	108
2010	2	93
2010	3	91
2010	4	140
2010	5	138
2010	6	133
2010	7	121
2010	8	120
2010	9	92
2010	10	77
2010	11	147
2010	12	132
2010	13	135
2010	14	125
2010	15	123
2010	16	83
2010	17	70
2010	18	123
2010	19	121
2010	20	135
2010	21	115
2010	22	111
2010	23	82
2010	24	66
2010	25	98
2010	26	84
2010	27	107
2010	28	118
2010	29	96
2010	30	82
2010	31	79
2011	1	107
2011	2	115
2011	3	159
2011	4	143
2011	5	98
2011	6	153
2011	7	132
2011	8	84
2011	9	78
2011	10	139
2011	11	124
2011	12	135
2011	13	132
2011	14	122
2011	15	90
2011	16	112
2011	17	132
2011	18	119
2011	19	112
2011	20	139
2011	21	131
2011	22	107
2011	23	84
2011	24	116
2011	25	91
2011	26	112
2011	27	139
2011	28	127
2011	29	104
2011	30	101
2011	31	154
2012	1	84
2012	2	127
2012	3	131
2012	4	108
2012	5	95
2012	6	91
2012	7	65
2012	8	59
2012	9	119
2012	10	112
2012	11	110
2012	12	103
2012	13	103
2012	14	69
2012	15	60
2012	16	103
2012	17	108
2012	18	84
2012	19	119
2012	20	89
2012	21	64
2012	22	64
2012	23	104
2012	24	103
2012	25	69
2012	26	97
2012	27	93
2012	28	74
2012	29	64
2012	30	104
2012	31	110
2013	1	79
2013	2	128
2013	3	119
2013	4	115
2013	5	121
2013	6	80
2013	7	109
2013	8	134
2013	9	99
2013	10	104
2013	11	103
2013	12	63
2013	13	71
2013	14	109
2013	15	125
2013	16	98
2013	17	132
2013	18	99
2013	19	79
2013	20	64
2013	21	94
2013	22	118
2013	23	110
2013	24	120
2013	25	71
2013	26	65
2013	27	71
2013	28	113
2013	29	122
2013	30	124
2013	31	121
2014	1	97
2014	2	137
2014	3	113
2014	4	74
2014	5	92
2014	6	124
2014	7	117
2014	8	111
2014	9	135
2014	10	107
2014	11	81
2014	12	91
2014	13	116
2014	14	136
2014	15	118
2014	16	83
2014	17	71
2014	18	76
2014	19	76
2014	20	122
2014	21	93
2014	22	83
2014	23	117
2014	24	105
2014	25	72
2014	26	65
2014	27	98
2014	28	88
2014	29	106
2014	30	108
2014	31	77
