%Ano	Dia	Fevereiro_I
2008	1	181
2008	2	87
2008	3	89
2008	4	113
2008	5	112
2008	6	162
2008	7	171
2008	8	157
2008	9	88
2008	10	82
2008	11	187
2008	12	193
2008	13	67
2008	14	153
2008	15	149
2008	16	128
2008	17	114
2008	18	178
2008	19	185
2008	20	82
2008	21	150
2008	22	142
2008	23	88
2008	24	103
2008	25	185
2008	26	154
2008	27	158
2008	28	166
2008	29	133
2009	1	93
2009	2	181
2009	3	184
2009	4	164
2009	5	158
2009	6	133
2009	7	80
2009	8	124
2009	9	205
2009	10	186
2009	11	156
2009	12	171
2009	13	160
2009	14	73
2009	15	112
2009	16	190
2009	17	183
2009	18	165
2009	19	174
2009	20	139
2009	21	84
2009	22	81
2009	23	95
2009	24	102
2009	25	102
2009	26	109
2009	27	157
2009	28	95
2010	1	202
2010	2	202
2010	3	218
2010	4	174
2010	5	138
2010	6	134
2010	7	145
2010	8	202
2010	9	174
2010	10	203
2010	11	169
2010	12	165
2010	13	109
2010	14	73
2010	15	99
2010	16	95
2010	17	169
2010	18	189
2010	19	164
2010	20	107
2010	21	143
2010	22	234
2010	23	199
2010	24	184
2010	25	185
2010	26	171
2010	27	100
2010	28	113
2011	1	187
2011	2	201
2011	3	189
2011	4	169
2011	5	113
2011	6	121
2011	7	205
2011	8	179
2011	9	209
2011	10	205
2011	11	176
2011	12	107
2011	13	111
2011	14	196
2011	15	196
2011	16	185
2011	17	212
2011	18	174
2011	19	107
2011	20	96
2011	21	198
2011	22	181
2011	23	208
2011	24	211
2011	25	179
2011	26	101
2011	27	108
2011	28	221
2012	1	171
2012	2	168
2012	3	177
2012	4	123
2012	5	116
2012	6	175
2012	7	163
2012	8	218
2012	9	207
2012	10	175
2012	11	105
2012	12	115
2012	13	196
2012	14	187
2012	15	169
2012	16	180
2012	17	140
2012	18	122
2012	19	100
2012	20	113
2012	21	111
2012	22	168
2012	23	215
2012	24	147
2012	25	99
2012	26	115
2012	27	198
2012	28	171
2012	29	188
2013	1	155
2013	2	109
2013	3	128
2013	4	193
2013	5	208
2013	6	189
2013	7	199
2013	8	151
2013	9	116
2013	10	71
2013	11	109
2013	12	119
2013	13	208
2013	14	201
2013	15	183
2013	16	121
2013	17	123
2013	18	226
2013	19	196
2013	20	196
2013	21	196
2013	22	137
2013	23	106
2013	24	121
2013	25	192
2013	26	193
2013	27	196
2013	28	184
2014	1	136
2014	2	107
2014	3	168
2014	4	182
2014	5	195
2014	6	185
2014	7	159
2014	8	76
2014	9	100
2014	10	222
2014	11	189
2014	12	192
2014	13	163
2014	14	168
2014	15	94
2014	16	105
2014	17	200
2014	18	182
2014	19	188
2014	20	190
2014	21	168
2014	22	88
2014	23	93
2014	24	202
2014	25	183
2014	26	193
2014	27	175
2014	28	126
