%Ano	Dia	Fevereiro_J
2008	1	114
2008	2	61
2008	3	67
2008	4	87
2008	5	64
2008	6	88
2008	7	134
2008	8	100
2008	9	67
2008	10	76
2008	11	110
2008	12	123
2008	13	105
2008	14	124
2008	15	121
2008	16	73
2008	17	76
2008	18	106
2008	19	123
2008	20	120
2008	21	137
2008	22	110
2008	23	111
2008	24	95
2008	25	160
2008	26	157
2008	27	150
2008	28	172
2008	29	141
2009	1	75
2009	2	116
2009	3	88
2009	4	81
2009	5	99
2009	6	112
2009	7	65
2009	8	84
2009	9	120
2009	10	120
2009	11	131
2009	12	116
2009	13	122
2009	14	90
2009	15	98
2009	16	122
2009	17	120
2009	18	150
2009	19	153
2009	20	138
2009	21	106
2009	22	141
2009	23	159
2009	24	129
2009	25	165
2009	26	187
2009	27	155
2009	28	122
2010	1	143
2010	2	130
2010	3	134
2010	4	115
2010	5	103
2010	6	64
2010	7	100
2010	8	144
2010	9	112
2010	10	125
2010	11	123
2010	12	147
2010	13	97
2010	14	100
2010	15	115
2010	16	122
2010	17	143
2010	18	139
2010	19	156
2010	20	91
2010	21	113
2010	22	155
2010	23	149
2010	24	162
2010	25	155
2010	26	152
2010	27	98
2010	28	116
2010	29	156
2011	1	158
2011	2	111
2011	3	170
2011	4	138
2011	5	106
2011	6	105
2011	7	145
2011	8	152
2011	9	130
2011	10	154
2011	11	137
2011	12	108
2011	13	112
2011	14	151
2011	15	148
2011	16	138
2011	17	176
2011	18	148
2011	19	126
2011	20	121
2011	21	214
2011	22	199
2011	23	148
2011	24	190
2011	25	166
2011	26	144
2011	27	126
2011	28	215
2012	1	105
2012	2	138
2012	3	90
2012	4	77
2012	5	76
2012	6	116
2012	7	126
2012	8	110
2012	9	149
2012	10	125
2012	11	100
2012	12	115
2012	13	151
2012	14	164
2012	15	126
2012	16	159
2012	17	133
2012	18	127
2012	19	78
2012	20	145
2012	21	159
2012	22	147
2012	23	154
2012	24	173
2012	25	113
2012	26	89
2012	27	132
2012	28	140
2012	29	130
2013	1	140
2013	2	88
2013	3	82
2013	4	112
2013	5	139
2013	6	91
2013	7	111
2013	8	119
2013	9	85
2013	10	88
2013	11	117
2013	12	117
2013	13	132
2013	14	162
2013	15	151
2013	16	118
2013	17	87
2013	18	143
2013	19	147
2013	20	130
2013	21	150
2013	22	137
2013	23	181
2013	24	94
2013	25	147
2013	26	163
2013	27	135
2013	28	143
2014	1	101
2014	2	72
2014	3	146
2014	4	104
2014	5	101
2014	6	133
2014	7	108
2014	8	75
2014	9	81
2014	10	123
2014	11	155
2014	12	129
2014	13	136
2014	14	105
2014	15	90
2014	16	81
2014	17	115
2014	18	135
2014	19	135
2014	20	118
2014	21	128
2014	22	88
2014	23	100
2014	24	154
2014	25	144
2014	26	140
2014	27	160
2014	28	116
