%Ano	Dia	Março_I
2008	1	206
2008	2	104
2008	3	197
2008	4	164
2008	5	184
2008	6	155
2008	7	109
2008	8	82
2008	9	100
2008	10	181
2008	11	179
2008	12	142
2008	13	148
2008	14	133
2008	15	92
2008	16	113
2008	17	179
2008	18	190
2008	19	172
2008	20	155
2008	21	78
2008	22	91
2008	23	108
2008	24	199
2008	25	177
2008	26	162
2008	27	176
2008	28	161
2008	29	86
2008	30	99
2008	31	179
2009	1	125
2009	2	194
2009	3	174
2009	4	161
2009	5	149
2009	6	137
2009	7	99
2009	8	110
2009	9	185
2009	10	182
2009	11	183
2009	12	178
2009	13	168
2009	14	96
2009	15	121
2009	16	176
2009	17	192
2009	18	181
2009	19	174
2009	20	157
2009	21	86
2009	22	112
2009	23	197
2009	24	186
2009	25	178
2009	26	167
2009	27	175
2009	28	102
2009	29	109
2009	30	166
2009	31	154
2010	1	207
2010	2	189
2010	3	240
2010	4	188
2010	5	181
2010	6	100
2010	7	153
2010	8	219
2010	9	224
2010	10	236
2010	11	206
2010	12	168
2010	13	107
2010	14	127
2010	15	197
2010	16	188
2010	17	232
2010	18	190
2010	19	165
2010	20	115
2010	21	114
2010	22	199
2010	23	171
2010	24	214
2010	25	171
2010	26	162
2010	27	97
2010	28	105
2010	29	189
2010	30	177
2010	31	180
2011	1	206
2011	2	192
2011	3	180
2011	4	148
2011	5	102
2011	6	106
2011	7	103
2011	8	123
2011	9	200
2011	10	238
2011	11	156
2011	12	119
2011	13	137
2011	14	196
2011	15	176
2011	16	215
2011	17	213
2011	18	186
2011	19	115
2011	20	115
2011	21	234
2011	22	203
2011	23	210
2011	24	191
2011	25	189
2011	26	127
2011	27	135
2011	28	226
2011	29	188
2011	30	195
2011	31	177
2012	1	198
2012	2	151
2012	3	96
2012	4	118
2012	5	186
2012	6	161
2012	7	172
2012	8	206
2012	9	150
2012	10	108
2012	11	118
2012	12	184
2012	13	195
2012	14	185
2012	15	188
2012	16	168
2012	17	95
2012	18	91
2012	19	185
2012	20	181
2012	21	193
2012	22	190
2012	23	161
2012	24	122
2012	25	139
2012	26	205
2012	27	165
2012	28	164
2012	29	192
2012	30	176
2012	31	109
2013	1	178
2013	2	100
2013	3	132
2013	4	241
2013	5	219
2013	6	181
2013	7	183
2013	8	157
2013	9	127
2013	10	124
2013	11	220
2013	12	227
2013	13	186
2013	14	187
2013	15	152
2013	16	87
2013	17	103
2013	18	180
2013	19	190
2013	20	182
2013	21	170
2013	22	184
2013	23	97
2013	24	133
2013	25	226
2013	26	189
2013	27	191
2013	28	160
2013	29	92
2013	30	97
2013	31	118
2014	1	104
2014	2	84
2014	3	109
2014	4	94
2014	5	156
2014	6	192
2014	7	160
2014	8	112
2014	9	114
2014	10	207
2014	11	207
2014	12	208
2014	13	181
2014	14	178
2014	15	110
2014	16	124
2014	17	203
2014	18	222
2014	19	197
2014	20	201
2014	21	153
2014	22	99
2014	23	104
2014	24	204
2014	25	181
2014	26	192
2014	27	186
2014	28	150
2014	29	82
2014	30	110
2014	31	195
