%Ano	Dia	Março_J
2008	1	125
2008	2	105
2008	3	172
2008	4	157
2008	5	171
2008	6	165
2008	7	155
2008	8	132
2008	9	124
2008	10	206
2008	11	170
2008	12	189
2008	13	179
2008	14	155
2008	15	137
2008	16	95
2008	17	163
2008	18	166
2008	19	174
2008	20	144
2008	21	129
2008	22	127
2008	23	130
2008	24	240
2008	25	214
2008	26	201
2008	27	173
2008	28	199
2008	29	159
2008	30	125
2008	31	208
2009	1	124
2009	2	157
2009	3	157
2009	4	195
2009	5	170
2009	6	169
2009	7	123
2009	8	125
2009	9	179
2009	10	163
2009	11	169
2009	12	190
2009	13	187
2009	14	140
2009	15	121
2009	16	196
2009	17	180
2009	18	213
2009	19	200
2009	20	219
2009	21	161
2009	22	165
2009	23	201
2009	24	222
2009	25	208
2009	26	204
2009	27	209
2009	28	164
2009	29	153
2009	30	417
2009	31	195
2010	1	177
2010	2	180
2010	3	161
2010	4	189
2010	5	183
2010	6	149
2010	7	126
2010	8	211
2010	9	235
2010	10	221
2010	11	233
2010	12	245
2010	13	165
2010	14	145
2010	15	224
2010	16	201
2010	17	226
2010	18	207
2010	19	187
2010	20	165
2010	21	138
2010	22	234
2010	23	233
2010	24	231
2010	25	209
2010	26	210
2010	27	153
2010	28	116
2010	29	206
2010	30	177
2010	31	202
2011	1	199
2011	2	217
2011	3	172
2011	4	166
2011	5	138
2011	6	119
2011	7	180
2011	8	173
2011	9	218
2011	10	206
2011	11	225
2011	12	160
2011	13	143
2011	14	217
2011	15	252
2011	16	200
2011	17	218
2011	18	190
2011	19	172
2011	20	128
2011	21	212
2011	22	214
2011	23	202
2011	24	240
2011	25	217
2011	26	168
2011	27	139
2011	28	287
2011	29	231
2011	30	185
2011	31	222
2012	1	180
2012	2	156
2012	3	119
2012	4	87
2012	5	180
2012	6	156
2012	7	151
2012	8	184
2012	9	167
2012	10	128
2012	11	142
2012	12	184
2012	13	198
2012	14	194
2012	15	224
2012	16	193
2012	17	143
2012	18	121
2012	19	212
2012	20	216
2012	21	184
2012	22	206
2012	23	213
2012	24	158
2012	25	144
2012	26	234
2012	27	243
2012	28	199
2012	29	210
2012	30	169
2012	31	157
2013	1	139
2013	2	102
2013	3	112
2013	4	172
2013	5	198
2013	6	152
2013	7	170
2013	8	182
2013	9	100
2013	10	109
2013	11	168
2013	12	188
2013	13	166
2013	14	193
2013	15	169
2013	16	122
2013	17	115
2013	18	173
2013	19	174
2013	20	220
2013	21	212
2013	22	202
2013	23	217
2013	24	113
2013	25	232
2013	26	223
2013	27	220
2013	28	202
2013	29	120
2013	30	137
2013	31	142
2014	1	117
2014	2	108
2014	3	123
2014	4	135
2014	5	142
2014	6	163
2014	7	118
2014	8	85
2014	9	83
2014	10	168
2014	11	153
2014	12	154
2014	13	159
2014	14	135
2014	15	113
2014	16	103
2014	17	198
2014	18	206
2014	19	181
2014	20	201
2014	21	163
2014	22	113
2014	23	116
2014	24	170
2014	25	181
2014	26	175
2014	27	196
2014	28	173
2014	29	128
2014	30	139
2014	31	176
