%Ano	Dia	Abril_I
2008	1	196
2008	2	179
2008	3	156
2008	4	132
2008	5	74
2008	6	120
2008	7	182
2008	8	171
2008	9	183
2008	10	158
2008	11	153
2008	12	67
2008	13	120
2008	14	183
2008	15	169
2008	16	199
2008	17	174
2008	18	153
2008	19	76
2008	20	72
2008	21	124
2008	22	177
2008	23	172
2008	24	204
2008	25	169
2008	26	115
2008	27	116
2008	28	154
2008	29	173
2008	30	145
2009	1	208
2009	2	164
2009	3	139
2009	4	107
2009	5	132
2009	6	187
2009	7	176
2009	8	186
2009	9	157
2009	10	113
2009	11	98
2009	12	101
2009	13	197
2009	14	182
2009	15	217
2009	16	188
2009	17	173
2009	18	102
2009	19	109
2009	20	112
2009	21	141
2009	22	199
2009	23	180
2009	24	151
2009	25	115
2009	26	120
2009	27	206
2009	28	171
2009	29	176
2009	30	150
2010	1	139
2010	2	107
2010	3	101
2010	4	110
2010	5	208
2010	6	206
2010	7	202
2010	8	172
2010	9	146
2010	10	101
2010	11	119
2010	12	242
2010	13	213
2010	14	214
2010	15	203
2010	16	154
2010	17	115
2010	18	141
2010	19	227
2010	20	177
2010	21	133
2010	22	229
2010	23	134
2010	24	88
2010	25	141
2010	26	230
2010	27	203
2010	28	191
2010	29	159
2010	30	148
2011	1	181
2011	2	117
2011	3	99
2011	4	220
2011	5	193
2011	6	222
2011	7	198
2011	8	169
2011	9	120
2011	10	117
2011	11	230
2011	12	192
2011	13	180
2011	14	198
2011	15	179
2011	16	126
2011	17	109
2011	18	194
2011	19	193
2011	20	159
2011	21	107
2011	22	98
2011	23	97
2011	24	126
2011	25	191
2011	26	176
2011	27	200
2011	28	207
2011	29	137
2011	30	122
2012	1	123
2012	2	187
2012	3	169
2012	4	205
2012	5	156
2012	6	98
2012	7	102
2012	8	131
2012	9	201
2012	10	192
2012	11	195
2012	12	182
2012	13	148
2012	14	103
2012	15	105
2012	16	223
2012	17	231
2012	18	167
2012	19	225
2012	20	197
2012	21	103
2012	22	120
2012	23	206
2012	24	209
2012	25	186
2012	26	189
2012	27	153
2012	28	106
2012	29	91
2012	30	111
2013	1	248
2013	2	186
2013	3	190
2013	4	204
2013	5	197
2013	6	91
2013	7	102
2013	8	222
2013	9	186
2013	10	197
2013	11	200
2013	12	153
2013	13	109
2013	14	108
2013	15	187
2013	16	212
2013	17	175
2013	18	178
2013	19	197
2013	20	96
2013	21	126
2013	22	246
2013	23	170
2013	24	198
2013	25	200
2013	26	158
2013	27	134
2013	28	113
2013	29	217
2013	30	180
2014	1	224
2014	2	210
2014	3	187
2014	4	162
2014	5	86
2014	6	114
2014	7	203
2014	8	160
2014	9	200
2014	10	186
2014	11	158
2014	12	96
2014	13	131
2014	14	205
2014	15	171
2014	16	185
2014	17	152
2014	18	97
2014	19	82
2014	20	98
2014	21	129
2014	22	219
2014	23	208
2014	24	194
2014	25	126
2014	26	94
2014	27	109
2014	28	214
2014	29	153
2014	30	175
