%Ano	Dia	Abril_J
2008	1	204
2008	2	181
2008	3	197
2008	4	199
2008	5	170
2008	6	142
2008	7	241
2008	8	212
2008	9	219
2008	10	234
2008	11	179
2008	12	157
2008	13	165
2008	14	188
2008	15	214
2008	16	201
2008	17	200
2008	18	186
2008	19	159
2008	20	159
2008	21	138
2008	22	226
2008	23	217
2008	24	234
2008	25	194
2008	26	198
2008	27	130
2008	28	205
2008	29	195
2008	30	194
2009	1	236
2009	2	205
2009	3	161
2009	4	176
2009	5	145
2009	6	215
2009	7	195
2009	8	241
2009	9	168
2009	10	147
2009	11	144
2009	12	136
2009	13	223
2009	14	200
2009	15	228
2009	16	186
2009	17	162
2009	18	133
2009	19	116
2009	20	170
2009	21	143
2009	22	219
2009	23	181
2009	24	187
2009	25	150
2009	26	141
2009	27	184
2009	28	200
2009	29	166
2009	30	176
2010	1	196
2010	2	148
2010	3	132
2010	4	150
2010	5	195
2010	6	227
2010	7	166
2010	8	208
2010	9	193
2010	10	139
2010	11	126
2010	12	221
2010	13	233
2010	14	211
2010	15	244
2010	16	225
2010	17	171
2010	18	160
2010	19	244
2010	20	221
2010	21	209
2010	22	245
2010	23	200
2010	24	174
2010	25	141
2010	26	238
2010	27	212
2010	28	171
2010	29	190
2010	30	163
2011	1	272
2011	2	174
2011	3	175
2011	4	267
2011	5	224
2011	6	254
2011	7	230
2011	8	233
2011	9	191
2011	10	161
2011	11	255
2011	12	282
2011	13	216
2011	14	244
2011	15	192
2011	16	175
2011	17	175
2011	18	259
2011	19	219
2011	20	210
2011	21	155
2011	22	155
2011	23	137
2011	24	155
2011	25	216
2011	26	172
2011	27	175
2011	28	171
2011	29	172
2011	30	131
2012	1	157
2012	2	229
2012	3	252
2012	4	230
2012	5	216
2012	6	170
2012	7	136
2012	8	135
2012	9	227
2012	10	243
2012	11	227
2012	12	231
2012	13	189
2012	14	125
2012	15	140
2012	16	190
2012	17	207
2012	18	185
2012	19	192
2012	20	199
2012	21	150
2012	22	116
2012	23	214
2012	24	203
2012	25	186
2012	26	207
2012	27	197
2012	28	121
2012	29	118
2012	30	141
2013	1	255
2013	2	274
2013	3	237
2013	4	278
2013	5	227
2013	6	158
2013	7	158
2013	8	267
2013	9	268
2013	10	243
2013	11	244
2013	12	250
2013	13	197
2013	14	190
2013	15	242
2013	16	262
2013	17	231
2013	18	250
2013	19	235
2013	20	157
2013	21	135
2013	22	231
2013	23	237
2013	24	251
2013	25	249
2013	26	213
2013	27	177
2013	28	155
2013	29	221
2013	30	233
2014	1	249
2014	2	213
2014	3	220
2014	4	197
2014	5	152
2014	6	158
2014	7	258
2014	8	257
2014	9	265
2014	10	247
2014	11	217
2014	12	167
2014	13	156
2014	14	223
2014	15	240
2014	16	193
2014	17	220
2014	18	172
2014	19	188
2014	20	146
2014	21	191
2014	22	255
2014	23	238
2014	24	216
2014	25	171
2014	26	121
2014	27	131
2014	28	177
2014	29	187
2014	30	167
