%Ano	Dia	Maio_I
2008	1	91
2008	2	120
2008	3	97
2008	4	132
2008	5	196
2008	6	194
2008	7	212
2008	8	183
2008	9	144
2008	10	106
2008	11	115
2008	12	139
2008	13	178
2008	14	196
2008	15	201
2008	16	181
2008	17	117
2008	18	104
2008	19	216
2008	20	182
2008	21	159
2008	22	126
2008	23	129
2008	24	102
2008	25	126
2008	26	216
2008	27	192
2008	28	202
2008	29	193
2008	30	142
2008	31	98
2009	1	97
2009	2	96
2009	3	143
2009	4	206
2009	5	205
2009	6	186
2009	7	207
2009	8	157
2009	9	101
2009	10	117
2009	11	217
2009	12	194
2009	13	191
2009	14	202
2009	15	137
2009	16	98
2009	17	128
2009	18	205
2009	19	203
2009	20	186
2009	21	188
2009	22	180
2009	23	113
2009	24	139
2009	25	218
2009	26	200
2009	27	196
2009	28	212
2009	29	158
2009	30	116
2009	31	134
2010	1	119
2010	2	122
2010	3	216
2010	4	186
2010	5	195
2010	6	208
2010	7	144
2010	8	117
2010	9	120
2010	10	214
2010	11	239
2010	12	167
2010	13	193
2010	14	149
2010	15	119
2010	16	140
2010	17	232
2010	18	189
2010	19	228
2010	20	191
2010	21	175
2010	22	125
2010	23	155
2010	24	218
2010	25	185
2010	26	214
2010	27	198
2010	28	172
2010	29	96
2010	30	131
2010	31	179
2011	1	162
2011	2	237
2011	3	181
2011	4	216
2011	5	218
2011	6	155
2011	7	108
2011	8	129
2011	9	217
2011	10	187
2011	11	235
2011	12	195
2011	13	161
2011	14	106
2011	15	131
2011	16	211
2011	17	199
2011	18	201
2011	19	197
2011	20	181
2011	21	97
2011	22	122
2011	23	220
2011	24	231
2011	25	226
2011	26	215
2011	27	172
2011	28	102
2011	29	111
2011	30	204
2011	31	216
2012	1	165
2012	2	190
2012	3	198
2012	4	191
2012	5	110
2012	6	121
2012	7	241
2012	8	214
2012	9	214
2012	10	197
2012	11	170
2012	12	133
2012	13	104
2012	14	241
2012	15	204
2012	16	212
2012	17	193
2012	18	183
2012	19	109
2012	20	120
2012	21	229
2012	22	213
2012	23	199
2012	24	213
2012	25	180
2012	26	112
2012	27	109
2012	28	212
2012	29	192
2012	30	219
2012	31	216
2013	1	129
2013	2	199
2013	3	140
2013	4	107
2013	5	126
2013	6	202
2013	7	197
2013	8	206
2013	9	167
2013	10	142
2013	11	97
2013	12	130
2013	13	228
2013	14	204
2013	15	205
2013	16	189
2013	17	173
2013	18	97
2013	19	113
2013	20	223
2013	21	221
2013	22	219
2013	23	180
2013	24	165
2013	25	84
2013	26	116
2013	27	209
2013	28	166
2013	29	167
2013	30	141
2013	31	99
2014	1	134
2014	2	129
2014	3	97
2014	4	152
2014	5	217
2014	6	214
2014	7	208
2014	8	222
2014	9	167
2014	10	96
2014	11	108
2014	12	204
2014	13	191
2014	14	187
2014	15	220
2014	16	170
2014	17	90
2014	18	114
2014	19	211
2014	20	199
2014	21	198
2014	22	194
2014	23	134
2014	24	106
2014	25	115
2014	26	193
2014	27	190
2014	28	178
2014	29	189
2014	30	156
2014	31	104
