%Ano	Dia	Maio_J
2008	1	155
2008	2	127
2008	3	154
2008	4	135
2008	5	176
2008	6	193
2008	7	177
2008	8	201
2008	9	161
2008	10	141
2008	11	138
2008	12	166
2008	13	186
2008	14	191
2008	15	181
2008	16	191
2008	17	146
2008	18	145
2008	19	211
2008	20	242
2008	21	171
2008	22	170
2008	23	160
2008	24	149
2008	25	144
2008	26	179
2008	27	195
2008	28	185
2008	29	176
2008	30	173
2008	31	137
2009	1	154
2009	2	143
2009	3	127
2009	4	190
2009	5	213
2009	6	171
2009	7	169
2009	8	170
2009	9	132
2009	10	140
2009	11	206
2009	12	223
2009	13	159
2009	14	170
2009	15	155
2009	16	127
2009	17	133
2009	18	204
2009	19	167
2009	20	161
2009	21	166
2009	22	165
2009	23	114
2009	24	120
2009	25	196
2009	26	200
2009	27	202
2009	28	170
2009	29	152
2009	30	104
2009	31	107
2010	1	138
2010	2	130
2010	3	199
2010	4	206
2010	5	185
2010	6	192
2010	7	183
2010	8	136
2010	9	108
2010	10	200
2010	11	157
2010	12	164
2010	13	183
2010	14	174
2010	15	127
2010	16	122
2010	17	216
2010	18	199
2010	19	168
2010	20	152
2010	21	170
2010	22	158
2010	23	138
2010	24	221
2010	25	200
2010	26	201
2010	27	167
2010	28	163
2010	29	136
2010	30	136
2010	31	196
2011	1	153
2011	2	198
2011	3	208
2011	4	170
2011	5	176
2011	6	160
2011	7	144
2011	8	116
2011	9	211
2011	10	226
2011	11	192
2011	12	210
2011	13	165
2011	14	138
2011	15	120
2011	16	173
2011	17	158
2011	18	165
2011	19	179
2011	20	166
2011	21	107
2011	22	99
2011	23	204
2011	24	184
2011	25	177
2011	26	185
2011	27	153
2011	28	108
2011	29	92
2011	30	153
2011	31	176
2012	1	179
2012	2	182
2012	3	179
2012	4	183
2012	5	119
2012	6	128
2012	7	220
2012	8	206
2012	9	177
2012	10	202
2012	11	218
2012	12	140
2012	13	136
2012	14	210
2012	15	214
2012	16	188
2012	17	212
2012	18	190
2012	19	128
2012	20	130
2012	21	213
2012	22	213
2012	23	181
2012	24	250
2012	25	178
2012	26	151
2012	27	121
2012	28	200
2012	29	232
2012	30	180
2012	31	184
2013	1	211
2013	2	221
2013	3	222
2013	4	169
2013	5	146
2013	6	214
2013	7	217
2013	8	202
2013	9	200
2013	10	223
2013	11	126
2013	12	137
2013	13	215
2013	14	238
2013	15	223
2013	16	239
2013	17	182
2013	18	114
2013	19	99
2013	20	223
2013	21	225
2013	22	203
2013	23	176
2013	24	142
2013	25	135
2013	26	123
2013	27	168
2013	28	162
2013	29	144
2013	30	123
2013	31	123
2014	1	214
2014	2	162
2014	3	180
2014	4	164
2014	5	258
2014	6	246
2014	7	243
2014	8	244
2014	9	221
2014	10	159
2014	11	157
2014	12	234
2014	13	211
2014	14	231
2014	15	233
2014	16	187
2014	17	158
2014	18	163
2014	19	234
2014	20	222
2014	21	224
2014	22	201
2014	23	168
2014	24	124
2014	25	124
2014	26	185
2014	27	156
2014	28	156
2014	29	165
2014	30	123
2014	31	103
