%Ano	Dia	Junho_I
2008	1	144
2008	2	211
2008	3	173
2008	4	182
2008	5	209
2008	6	137
2008	7	120
2008	8	117
2008	9	197
2008	10	193
2008	11	189
2008	12	135
2008	13	180
2008	14	108
2008	15	105
2008	16	183
2008	17	194
2008	18	180
2008	19	177
2008	20	154
2008	21	113
2008	22	118
2008	23	172
2008	24	187
2008	25	195
2008	26	224
2008	27	177
2008	28	135
2008	29	130
2008	30	179
2009	1	213
2009	2	224
2009	3	189
2009	4	192
2009	5	176
2009	6	122
2009	7	136
2009	8	235
2009	9	190
2009	10	155
2009	11	144
2009	12	119
2009	13	99
2009	14	197
2009	15	229
2009	16	221
2009	17	230
2009	18	213
2009	19	193
2009	20	116
2009	21	152
2009	22	245
2009	23	209
2009	24	206
2009	25	190
2009	26	193
2009	27	95
2009	28	139
2009	29	245
2009	30	197
2010	1	187
2010	2	164
2010	3	128
2010	4	113
2010	5	119
2010	6	128
2010	7	215
2010	8	207
2010	9	248
2010	10	224
2010	11	129
2010	12	117
2010	13	140
2010	14	219
2010	15	179
2010	16	235
2010	17	220
2010	18	171
2010	19	117
2010	20	128
2010	21	239
2010	22	206
2010	23	239
2010	24	236
2010	25	126
2010	26	120
2010	27	139
2010	28	213
2010	29	207
2010	30	208
2011	1	231
2011	2	217
2011	3	168
2011	4	119
2011	5	109
2011	6	198
2011	7	202
2011	8	194
2011	9	204
2011	10	166
2011	11	146
2011	12	127
2011	13	200
2011	14	213
2011	15	190
2011	16	207
2011	17	307
2011	18	141
2011	19	213
2011	20	232
2011	21	197
2011	22	173
2011	23	134
2011	24	125
2011	25	107
2011	26	138
2011	27	231
2011	28	208
2011	29	217
2011	30	214
2012	1	179
2012	2	127
2012	3	126
2012	4	205
2012	5	174
2012	6	154
2012	7	92
2012	8	102
2012	9	94
2012	10	109
2012	11	244
2012	12	224
2012	13	194
2012	14	200
2012	15	185
2012	16	120
2012	17	125
2012	18	230
2012	19	196
2012	20	175
2012	21	167
2012	22	168
2012	23	105
2012	24	116
2012	25	236
2012	26	176
2012	27	183
2012	28	195
2012	29	167
2012	30	110
2013	1	121
2013	2	117
2013	3	222
2013	4	221
2013	5	216
2013	6	202
2013	7	179
2013	8	104
2013	9	138
2013	10	230
2013	11	214
2013	12	213
2013	13	179
2013	14	184
2013	15	75
2013	16	110
2013	17	241
2013	18	214
2013	19	219
2013	20	209
2013	21	165
2013	22	103
2013	23	131
2013	24	217
2013	25	194
2013	26	209
2013	27	184
2013	28	178
2013	29	85
2013	30	103
2014	1	143
2014	2	209
2014	3	198
2014	4	221
2014	5	209
2014	6	145
2014	7	105
2014	8	150
2014	9	218
2014	10	206
2014	11	197
2014	12	129
2014	13	149
2014	14	124
2014	15	124
2014	16	225
2014	17	160
2014	18	168
2014	19	110
2014	20	136
2014	21	96
2014	22	104
2014	23	173
2014	24	216
2014	25	193
2014	26	218
2014	27	157
2014	28	88
2014	29	119
2014	30	203
