%Ano	Dia	Junho_J
2008	1	100
2008	2	135
2008	3	182
2008	4	150
2008	5	165
2008	6	152
2008	7	129
2008	8	135
2008	9	147
2008	10	191
2008	11	148
2008	12	153
2008	13	167
2008	14	129
2008	15	99
2008	16	137
2008	17	179
2008	18	170
2008	19	152
2008	20	155
2008	21	112
2008	22	112
2008	23	141
2008	24	158
2008	25	151
2008	26	137
2008	27	143
2008	28	135
2008	29	119
2008	30	203
2009	1	172
2009	2	148
2009	3	131
2009	4	145
2009	5	136
2009	6	111
2009	7	109
2009	8	169
2009	9	178
2009	10	154
2009	11	106
2009	12	136
2009	13	120
2009	14	125
2009	15	182
2009	16	171
2009	17	144
2009	18	178
2009	19	141
2009	20	153
2009	21	128
2009	22	198
2009	23	209
2009	24	206
2009	25	154
2009	26	171
2009	27	118
2009	28	135
2009	29	238
2009	30	185
2010	1	203
2010	2	145
2010	3	131
2010	4	145
2010	5	126
2010	6	129
2010	7	180
2010	8	165
2010	9	165
2010	10	185
2010	11	175
2010	12	110
2010	13	116
2010	14	184
2010	15	147
2010	16	158
2010	17	188
2010	18	190
2010	19	125
2010	20	132
2010	21	195
2010	22	158
2010	23	162
2010	24	188
2010	25	169
2010	26	132
2010	27	135
2010	28	184
2010	29	194
2010	30	183
2011	1	171
2011	2	158
2011	3	152
2011	4	107
2011	5	103
2011	6	196
2011	7	175
2011	8	144
2011	9	165
2011	10	155
2011	11	99
2011	12	118
2011	13	186
2011	14	177
2011	15	155
2011	16	166
2011	17	155
2011	18	104
2011	19	124
2011	20	180
2011	21	184
2011	22	174
2011	23	108
2011	24	138
2011	25	142
2011	26	106
2011	27	171
2011	28	168
2011	29	151
2011	30	182
2012	1	177
2012	2	131
2012	3	113
2012	4	184
2012	5	160
2012	6	170
2012	7	120
2012	8	111
2012	9	133
2012	10	112
2012	11	153
2012	12	192
2012	13	194
2012	14	191
2012	15	188
2012	16	150
2012	17	119
2012	18	227
2012	19	211
2012	20	177
2012	21	175
2012	22	194
2012	23	150
2012	24	123
2012	25	161
2012	26	218
2012	27	195
2012	28	206
2012	29	192
2012	30	125
2013	1	148
2013	2	126
2013	3	202
2013	4	186
2013	5	197
2013	6	205
2013	7	190
2013	8	149
2013	9	132
2013	10	217
2013	11	217
2013	12	192
2013	13	205
2013	14	157
2013	15	138
2013	16	133
2013	17	208
2013	18	213
2013	19	183
2013	20	181
2013	21	167
2013	22	125
2013	23	118
2013	24	167
2013	25	162
2013	26	151
2013	27	159
2013	28	145
2013	29	118
2013	30	108
2014	1	139
2014	2	202
2014	3	187
2014	4	197
2014	5	179
2014	6	145
2014	7	145
2014	8	141
2014	9	220
2014	10	206
2014	11	181
2014	12	137
2014	13	177
2014	14	145
2014	15	132
2014	16	177
2014	17	161
2014	18	158
2014	19	120
2014	20	104
2014	21	114
2014	22	99
2014	23	113
2014	24	202
2014	25	139
2014	26	150
2014	27	124
2014	28	103
2014	29	95
2014	30	138
