%Ano	Dia	Julho_I
2008	1	194
2008	2	202
2008	3	209
2008	4	180
2008	5	124
2008	6	116
2008	7	190
2008	8	183
2008	9	132
2008	10	176
2008	11	161
2008	12	105
2008	13	116
2008	14	207
2008	15	196
2008	16	203
2008	17	199
2008	18	168
2008	19	130
2008	20	127
2008	21	211
2008	22	213
2008	23	196
2008	24	191
2008	25	177
2008	26	102
2008	27	115
2008	28	204
2008	29	171
2008	30	158
2008	31	173
2009	1	220
2009	2	210
2009	3	193
2009	4	113
2009	5	118
2009	6	211
2009	7	224
2009	8	180
2009	9	119
2009	10	139
2009	11	78
2009	12	142
2009	13	226
2009	14	204
2009	15	218
2009	16	224
2009	17	172
2009	18	112
2009	19	136
2009	20	175
2009	21	185
2009	22	187
2009	23	179
2009	24	141
2009	25	99
2009	26	124
2009	27	195
2009	28	202
2009	29	196
2009	30	161
2009	31	170
2010	1	194
2010	2	154
2010	3	116
2010	4	149
2010	5	229
2010	6	203
2010	7	206
2010	8	170
2010	9	122
2010	10	111
2010	11	122
2010	12	218
2010	13	207
2010	14	205
2010	15	195
2010	16	165
2010	17	119
2010	18	126
2010	19	216
2010	20	206
2010	21	214
2010	22	184
2010	23	158
2010	24	126
2010	25	124
2010	26	185
2010	27	194
2010	28	201
2010	29	185
2010	30	174
2010	31	115
2011	1	244
2011	2	141
2011	3	136
2011	4	167
2011	5	180
2011	6	191
2011	7	221
2011	8	184
2011	9	138
2011	10	154
2011	11	242
2011	12	240
2011	13	226
2011	14	250
2011	15	188
2011	16	115
2011	17	120
2011	18	225
2011	19	228
2011	20	219
2011	21	215
2011	22	182
2011	23	102
2011	24	105
2011	25	244
2011	26	197
2011	27	199
2011	28	199
2011	29	150
2011	30	123
2011	31	110
2012	1	142
2012	2	220
2012	3	166
2012	4	159
2012	5	200
2012	6	189
2012	7	102
2012	8	88
2012	9	144
2012	10	195
2012	11	222
2012	12	213
2012	13	184
2012	14	120
2012	15	120
2012	16	223
2012	17	190
2012	18	198
2012	19	232
2012	20	186
2012	21	104
2012	22	150
2012	23	231
2012	24	205
2012	25	201
2012	26	214
2012	27	170
2012	28	106
2012	29	128
2012	30	198
2012	31	161
2013	1	221
2013	2	188
2013	3	170
2013	4	191
2013	5	171
2013	6	125
2013	7	86
2013	8	133
2013	9	112
2013	10	188
2013	11	205
2013	12	189
2013	13	125
2013	14	129
2013	15	234
2013	16	181
2013	17	187
2013	18	206
2013	19	162
2013	20	98
2013	21	121
2013	22	240
2013	23	171
2013	24	196
2013	25	167
2013	26	165
2013	27	136
2013	28	121
2013	29	250
2013	30	222
2013	31	208
2014	1	215
2014	2	196
2014	3	196
2014	4	126
2014	5	95
2014	6	123
2014	7	218
2014	8	156
2014	9	128
2014	10	204
2014	11	164
2014	12	119
2014	13	110
2014	14	205
2014	15	211
2014	16	233
2014	17	202
2014	18	189
2014	19	104
2014	20	104
2014	21	237
2014	22	174
2014	23	189
2014	24	176
2014	25	184
2014	26	104
2014	27	106
2014	28	217
2014	29	201
2014	30	201
2014	31	159
