%Ano	Dia	Julho_J
2008	1	192
2008	2	198
2008	3	163
2008	4	164
2008	5	93
2008	6	125
2008	7	164
2008	8	183
2008	9	144
2008	10	185
2008	11	174
2008	12	129
2008	13	125
2008	14	186
2008	15	156
2008	16	166
2008	17	183
2008	18	168
2008	19	112
2008	20	122
2008	21	208
2008	22	173
2008	23	165
2008	24	157
2008	25	162
2008	26	94
2008	27	103
2008	28	185
2008	29	175
2008	30	180
2008	31	184
2009	1	176
2009	2	196
2009	3	199
2009	4	119
2009	5	166
2009	6	211
2009	7	191
2009	8	168
2009	9	155
2009	10	183
2009	11	96
2009	12	141
2009	13	180
2009	14	174
2009	15	190
2009	16	206
2009	17	212
2009	18	154
2009	19	138
2009	20	202
2009	21	216
2009	22	223
2009	23	229
2009	24	197
2009	25	151
2009	26	172
2009	27	232
2009	28	222
2009	29	237
2009	30	219
2009	31	237
2010	1	179
2010	2	177
2010	3	141
2010	4	145
2010	5	192
2010	6	159
2010	7	163
2010	8	182
2010	9	124
2010	10	140
2010	11	133
2010	12	198
2010	13	143
2010	14	132
2010	15	133
2010	16	136
2010	17	112
2010	18	109
2010	19	157
2010	20	137
2010	21	124
2010	22	137
2010	23	143
2010	24	110
2010	25	109
2010	26	155
2010	27	148
2010	28	129
2010	29	141
2010	30	145
2010	31	123
2011	1	166
2011	2	119
2011	3	135
2011	4	145
2011	5	181
2011	6	156
2011	7	174
2011	8	147
2011	9	118
2011	10	124
2011	11	164
2011	12	190
2011	13	191
2011	14	184
2011	15	157
2011	16	130
2011	17	107
2011	18	177
2011	19	190
2011	20	159
2011	21	190
2011	22	157
2011	23	108
2011	24	92
2011	25	156
2011	26	169
2011	27	127
2011	28	158
2011	29	149
2011	30	116
2011	31	88
2012	1	124
2012	2	203
2012	3	213
2012	4	178
2012	5	203
2012	6	189
2012	7	132
2012	8	122
2012	9	175
2012	10	198
2012	11	168
2012	12	192
2012	13	137
2012	14	126
2012	15	108
2012	16	151
2012	17	144
2012	18	152
2012	19	204
2012	20	139
2012	21	110
2012	22	102
2012	23	189
2012	24	188
2012	25	163
2012	26	190
2012	27	153
2012	28	115
2012	29	90
2012	30	164
2012	31	135
2013	1	184
2013	2	174
2013	3	159
2013	4	169
2013	5	158
2013	6	123
2013	7	104
2013	8	159
2013	9	119
2013	10	148
2013	11	167
2013	12	156
2013	13	121
2013	14	128
2013	15	162
2013	16	189
2013	17	168
2013	18	182
2013	19	162
2013	20	102
2013	21	121
2013	22	164
2013	23	164
2013	24	114
2013	25	136
2013	26	130
2013	27	112
2013	28	99
2013	29	151
2013	30	144
2013	31	148
2014	1	165
2014	2	160
2014	3	164
2014	4	106
2014	5	107
2014	6	94
2014	7	147
2014	8	113
2014	9	108
2014	10	148
2014	11	119
2014	12	83
2014	13	76
2014	14	153
2014	15	126
2014	16	135
2014	17	152
2014	18	132
2014	19	79
2014	20	99
2014	21	157
2014	22	136
2014	23	167
2014	24	155
2014	25	111
2014	26	105
2014	27	95
2014	28	133
2014	29	119
2014	30	144
2014	31	122
