%Ano	Dia	Agosto_I
2008	1	150
2008	2	111
2008	3	108
2008	4	209
2008	5	176
2008	6	178
2008	7	191
2008	8	148
2008	9	109
2008	10	112
2008	11	213
2008	12	207
2008	13	215
2008	14	183
2008	15	156
2008	16	114
2008	17	125
2008	18	220
2008	19	196
2008	20	179
2008	21	184
2008	22	145
2008	23	101
2008	24	114
2008	25	205
2008	26	184
2008	27	175
2008	28	176
2008	29	155
2008	30	86
2008	31	124
2009	1	116
2009	2	146
2009	3	228
2009	4	201
2009	5	212
2009	6	199
2009	7	161
2009	8	115
2009	9	125
2009	10	199
2009	11	203
2009	12	138
2009	13	192
2009	14	173
2009	15	108
2009	16	122
2009	17	171
2009	18	198
2009	19	186
2009	20	187
2009	21	160
2009	22	104
2009	23	126
2009	24	212
2009	25	205
2009	26	213
2009	27	208
2009	28	151
2009	29	122
2009	30	115
2009	31	208
2010	1	127
2010	2	226
2010	3	190
2010	4	215
2010	5	216
2010	6	214
2010	7	129
2010	8	133
2010	9	213
2010	10	228
2010	11	222
2010	12	203
2010	13	183
2010	14	98
2010	15	142
2010	16	218
2010	17	220
2010	18	228
2010	19	192
2010	20	185
2010	21	115
2010	22	153
2010	23	217
2010	24	189
2010	25	218
2010	26	203
2010	27	173
2010	28	95
2010	29	122
2010	30	231
2010	31	173
2011	1	347
2011	2	192
2011	3	238
2011	4	226
2011	5	165
2011	6	144
2011	7	130
2011	8	212
2011	9	186
2011	10	202
2011	11	214
2011	12	183
2011	13	126
2011	14	120
2011	15	202
2011	16	208
2011	17	237
2011	18	191
2011	19	179
2011	20	114
2011	21	109
2011	22	204
2011	23	187
2011	24	185
2011	25	183
2011	26	181
2011	27	120
2011	28	119
2011	29	203
2011	30	204
2011	31	195
2012	1	225
2012	2	217
2012	3	155
2012	4	93
2012	5	120
2012	6	188
2012	7	188
2012	8	184
2012	9	216
2012	10	164
2012	11	115
2012	12	132
2012	13	178
2012	14	212
2012	15	173
2012	16	193
2012	17	178
2012	18	123
2012	19	132
2012	20	230
2012	21	190
2012	22	189
2012	23	197
2012	24	176
2012	25	105
2012	26	136
2012	27	185
2012	28	178
2012	29	183
2012	30	194
2012	31	145
2013	1	239
2013	2	175
2013	3	108
2013	4	139
2013	5	251
2013	6	198
2013	7	207
2013	8	229
2013	9	165
2013	10	124
2013	11	121
2013	12	252
2013	13	199
2013	14	198
2013	15	178
2013	16	160
2013	17	98
2013	18	131
2013	19	222
2013	20	219
2013	21	204
2013	22	219
2013	23	172
2013	24	89
2013	25	119
2013	26	236
2013	27	202
2013	28	197
2013	29	186
2013	30	140
2013	31	98
2014	1	164
2014	2	115
2014	3	116
2014	4	191
2014	5	212
2014	6	174
2014	7	202
2014	8	180
2014	9	109
2014	10	128
2014	11	216
2014	12	209
2014	13	191
2014	14	182
2014	15	143
2014	16	114
2014	17	127
2014	18	203
2014	19	175
2014	20	201
2014	21	190
2014	22	161
2014	23	104
2014	24	130
2014	25	222
2014	26	217
2014	27	194
2014	28	162
2014	29	158
2014	30	86
2014	31	104
