%Ano	Dia	Agosto_J
2008	1	180
2008	2	111
2008	3	127
2008	4	163
2008	5	185
2008	6	157
2008	7	135
2008	8	147
2008	9	116
2008	10	105
2008	11	175
2008	12	157
2008	13	165
2008	14	156
2008	15	154
2008	16	133
2008	17	115
2008	18	162
2008	19	184
2008	20	182
2008	21	169
2008	22	184
2008	23	120
2008	24	95
2008	25	168
2008	26	170
2008	27	160
2008	28	167
2008	29	160
2008	30	120
2008	31	103
2009	1	180
2009	2	183
2009	3	246
2009	4	268
2009	5	266
2009	6	265
2009	7	247
2009	8	185
2009	9	181
2009	10	253
2009	11	213
2009	12	218
2009	13	227
2009	14	241
2009	15	161
2009	16	163
2009	17	232
2009	18	209
2009	19	206
2009	20	193
2009	21	174
2009	22	130
2009	23	127
2009	24	192
2009	25	187
2009	26	187
2009	27	192
2009	28	176
2009	29	135
2009	30	127
2009	31	217
2010	1	129
2010	2	206
2010	3	150
2010	4	124
2010	5	151
2010	6	155
2010	7	114
2010	8	119
2010	9	181
2010	10	163
2010	11	178
2010	12	188
2010	13	186
2010	14	122
2010	15	110
2010	16	170
2010	17	172
2010	18	175
2010	19	184
2010	20	143
2010	21	129
2010	22	137
2010	23	211
2010	24	191
2010	25	187
2010	26	204
2010	27	183
2010	28	145
2010	29	126
2010	30	191
2010	31	189
2011	1	177
2011	2	153
2011	3	135
2011	4	138
2011	5	124
2011	6	104
2011	7	91
2011	8	201
2011	9	194
2011	10	161
2011	11	164
2011	12	142
2011	13	120
2011	14	142
2011	15	171
2011	16	199
2011	17	170
2011	18	181
2011	19	148
2011	20	122
2011	21	90
2011	22	174
2011	23	155
2011	24	171
2011	25	183
2011	26	155
2011	27	108
2011	28	115
2011	29	176
2011	30	201
2011	31	131
2012	1	140
2012	2	176
2012	3	145
2012	4	126
2012	5	96
2012	6	166
2012	7	166
2012	8	131
2012	9	176
2012	10	157
2012	11	116
2012	12	101
2012	13	183
2012	14	182
2012	15	167
2012	16	173
2012	17	143
2012	18	110
2012	19	114
2012	20	203
2012	21	205
2012	22	171
2012	23	155
2012	24	147
2012	25	104
2012	26	120
2012	27	166
2012	28	184
2012	29	124
2012	30	160
2012	31	111
2013	1	178
2013	2	139
2013	3	130
2013	4	129
2013	5	218
2013	6	173
2013	7	161
2013	8	210
2013	9	157
2013	10	131
2013	11	135
2013	12	194
2013	13	217
2013	14	134
2013	15	149
2013	16	123
2013	17	100
2013	18	113
2013	19	160
2013	20	184
2013	21	149
2013	22	173
2013	23	147
2013	24	118
2013	25	101
2013	26	182
2013	27	163
2013	28	122
2013	29	130
2013	30	109
2013	31	119
2014	1	141
2014	2	118
2014	3	130
2014	4	175
2014	5	180
2014	6	142
2014	7	156
2014	8	136
2014	9	116
2014	10	109
2014	11	174
2014	12	162
2014	13	134
2014	14	146
2014	15	162
2014	16	105
2014	17	118
2014	18	154
2014	19	162
2014	20	152
2014	21	181
2014	22	139
2014	23	108
2014	24	133
2014	25	171
2014	26	196
2014	27	160
2014	28	146
2014	29	135
2014	30	73
2014	31	99
