%Ano	Dia	Setembro_I
2008	1	207
2008	2	208
2008	3	210
2008	4	183
2008	5	152
2008	6	81
2008	7	118
2008	8	157
2008	9	169
2008	10	206
2008	11	171
2008	12	159
2008	13	96
2008	14	96
2008	15	171
2008	16	182
2008	17	156
2008	18	172
2008	19	111
2008	20	81
2008	21	101
2008	22	156
2008	23	173
2008	24	159
2008	25	183
2008	26	134
2008	27	94
2008	28	96
2008	29	173
2008	30	191
2009	1	202
2009	2	238
2009	3	185
2009	4	165
2009	5	124
2009	6	79
2009	7	135
2009	8	185
2009	9	203
2009	10	203
2009	11	163
2009	12	115
2009	13	129
2009	14	195
2009	15	182
2009	16	190
2009	17	178
2009	18	172
2009	19	104
2009	20	129
2009	21	159
2009	22	158
2009	23	188
2009	24	164
2009	25	157
2009	26	117
2009	27	134
2009	28	188
2009	29	201
2009	30	196
2010	1	210
2010	2	214
2010	3	186
2010	4	130
2010	5	109
2010	6	185
2010	7	127
2010	8	208
2010	9	222
2010	10	185
2010	11	144
2010	12	139
2010	13	219
2010	14	196
2010	15	211
2010	16	190
2010	17	172
2010	18	104
2010	19	122
2010	20	215
2010	21	206
2010	22	213
2010	23	203
2010	24	178
2010	25	110
2010	26	115
2010	27	216
2010	28	200
2010	29	196
2010	30	197
2011	1	457
2011	2	170
2011	3	136
2011	4	114
2011	5	215
2011	6	187
2011	7	140
2011	8	219
2011	9	152
2011	10	116
2011	11	128
2011	12	207
2011	13	200
2011	14	202
2011	15	196
2011	16	156
2011	17	98
2011	18	109
2011	19	218
2011	20	190
2011	21	183
2011	22	171
2011	23	191
2011	24	113
2011	25	120
2011	26	204
2011	27	176
2011	28	180
2011	29	211
2011	30	170
2012	1	123
2012	2	120
2012	3	212
2012	4	196
2012	5	196
2012	6	158
2012	7	111
2012	8	97
2012	9	116
2012	10	211
2012	11	197
2012	12	181
2012	13	200
2012	14	148
2012	15	81
2012	16	111
2012	17	231
2012	18	192
2012	19	202
2012	20	190
2012	21	144
2012	22	96
2012	23	109
2012	24	216
2012	25	193
2012	26	151
2012	27	160
2012	28	150
2012	29	90
2012	30	130
2013	1	127
2013	2	220
2013	3	200
2013	4	216
2013	5	205
2013	6	161
2013	7	112
2013	8	110
2013	9	244
2013	10	177
2013	11	195
2013	12	184
2013	13	194
2013	14	106
2013	15	130
2013	16	204
2013	17	214
2013	18	209
2013	19	204
2013	20	179
2013	21	108
2013	22	116
2013	23	209
2013	24	204
2013	25	186
2013	26	183
2013	27	198
2013	28	94
2013	29	115
2013	30	202
2014	1	210
2014	2	216
2014	3	212
2014	4	190
2014	5	152
2014	6	106
2014	7	112
2014	8	227
2014	9	199
2014	10	235
2014	11	232
2014	12	164
2014	13	97
2014	14	112
2014	15	235
2014	16	221
2014	17	190
2014	18	179
2014	19	163
2014	20	88
2014	21	113
2014	22	209
2014	23	209
2014	24	226
2014	25	169
2014	26	164
2014	27	96
2014	28	118
2014	29	181
2014	30	179
