%Ano	Dia	Setembro_J
2008	1	171
2008	2	179
2008	3	183
2008	4	175
2008	5	174
2008	6	115
2008	7	140
2008	8	196
2008	9	152
2008	10	155
2008	11	175
2008	12	192
2008	13	110
2008	14	111
2008	15	126
2008	16	128
2008	17	149
2008	18	147
2008	19	110
2008	20	104
2008	21	99
2008	22	163
2008	23	170
2008	24	117
2008	25	120
2008	26	147
2008	27	120
2008	28	104
2008	29	157
2008	30	171
2009	1	217
2009	2	218
2009	3	223
2009	4	219
2009	5	152
2009	6	139
2009	7	163
2009	8	177
2009	9	182
2009	10	202
2009	11	161
2009	12	124
2009	13	129
2009	14	170
2009	15	173
2009	16	138
2009	17	164
2009	18	125
2009	19	119
2009	20	129
2009	21	161
2009	22	186
2009	23	151
2009	24	171
2009	25	133
2009	26	134
2009	27	109
2009	28	185
2009	29	178
2009	30	153
2010	1	168
2010	2	160
2010	3	168
2010	4	134
2010	5	128
2010	6	161
2010	7	119
2010	8	129
2010	9	121
2010	10	140
2010	11	117
2010	12	114
2010	13	194
2010	14	164
2010	15	156
2010	16	157
2010	17	149
2010	18	118
2010	19	99
2010	20	198
2010	21	176
2010	22	145
2010	23	152
2010	24	130
2010	25	110
2010	26	85
2010	27	179
2010	28	173
2010	29	178
2010	30	151
2011	1	162
2011	2	160
2011	3	95
2011	4	97
2011	5	191
2011	6	172
2011	7	162
2011	8	161
2011	9	147
2011	10	113
2011	11	118
2011	12	156
2011	13	171
2011	14	134
2011	15	162
2011	16	147
2011	17	111
2011	18	110
2011	19	175
2011	20	165
2011	21	161
2011	22	168
2011	23	152
2011	24	100
2011	25	104
2011	26	174
2011	27	174
2011	28	134
2011	29	167
2011	30	145
2012	1	110
2012	2	108
2012	3	159
2012	4	164
2012	5	143
2012	6	164
2012	7	95
2012	8	101
2012	9	117
2012	10	166
2012	11	186
2012	12	153
2012	13	199
2012	14	121
2012	15	100
2012	16	108
2012	17	162
2012	18	164
2012	19	132
2012	20	153
2012	21	122
2012	22	94
2012	23	85
2012	24	138
2012	25	151
2012	26	111
2012	27	116
2012	28	113
2012	29	85
2012	30	88
2013	1	141
2013	2	163
2013	3	188
2013	4	145
2013	5	184
2013	6	163
2013	7	106
2013	8	108
2013	9	169
2013	10	191
2013	11	187
2013	12	177
2013	13	144
2013	14	105
2013	15	128
2013	16	166
2013	17	175
2013	18	159
2013	19	148
2013	20	139
2013	21	98
2013	22	108
2013	23	143
2013	24	156
2013	25	134
2013	26	149
2013	27	110
2013	28	91
2013	29	107
2013	30	139
2014	1	166
2014	2	216
2014	3	186
2014	4	144
2014	5	147
2014	6	110
2014	7	116
2014	8	164
2014	9	187
2014	10	154
2014	11	168
2014	12	140
2014	13	115
2014	14	102
2014	15	159
2014	16	193
2014	17	141
2014	18	172
2014	19	148
2014	20	102
2014	21	79
2014	22	152
2014	23	174
2014	24	132
2014	25	159
2014	26	136
2014	27	104
2014	28	98
2014	29	144
2014	30	152
