%Ano	Dia	Outubro_I
2008	1	176
2008	2	158
2008	3	157
2008	4	89
2008	5	109
2008	6	155
2008	7	144
2008	8	141
2008	9	154
2008	10	147
2008	11	79
2008	12	90
2008	13	191
2008	14	172
2008	15	174
2008	16	148
2008	17	151
2008	18	84
2008	19	86
2008	20	147
2008	21	156
2008	22	169
2008	23	145
2008	24	134
2008	25	61
2008	26	85
2008	27	121
2008	28	115
2008	29	121
2008	30	118
2008	31	105
2009	1	197
2009	2	138
2009	3	84
2009	4	119
2009	5	201
2009	6	201
2009	7	182
2009	8	177
2009	9	131
2009	10	91
2009	11	96
2009	12	119
2009	13	203
2009	14	181
2009	15	188
2009	16	139
2009	17	96
2009	18	117
2009	19	180
2009	20	186
2009	21	178
2009	22	151
2009	23	155
2009	24	103
2009	25	101
2009	26	159
2009	27	175
2009	28	134
2009	29	156
2009	30	117
2009	31	84
2010	1	185
2010	2	126
2010	3	113
2010	4	223
2010	5	206
2010	6	199
2010	7	189
2010	8	173
2010	9	117
2010	10	112
2010	11	99
2010	12	109
2010	13	224
2010	14	192
2010	15	182
2010	16	113
2010	17	130
2010	18	214
2010	19	185
2010	20	197
2010	21	206
2010	22	173
2010	23	124
2010	24	135
2010	25	209
2010	26	185
2010	27	192
2010	28	161
2010	29	162
2010	30	89
2010	31	89
2011	1	174
2011	2	102
2011	3	206
2011	4	171
2011	5	199
2011	6	193
2011	7	161
2011	8	117
2011	9	126
2011	10	179
2011	11	190
2011	12	113
2011	13	187
2011	14	152
2011	15	99
2011	16	87
2011	17	186
2011	18	184
2011	19	201
2011	20	172
2011	21	149
2011	22	83
2011	23	110
2011	24	218
2011	25	164
2011	26	166
2011	27	177
2011	28	135
2011	29	114
2011	30	103
2011	31	162
2012	1	800
2012	2	206
2012	3	208
2012	4	174
2012	5	151
2012	6	97
2012	7	109
2012	8	197
2012	9	188
2012	10	175
2012	11	140
2012	12	111
2012	13	82
2012	14	111
2012	15	218
2012	16	189
2012	17	204
2012	18	198
2012	19	151
2012	20	90
2012	21	100
2012	22	199
2012	23	185
2012	24	174
2012	25	177
2012	26	130
2012	27	88
2012	28	103
2012	29	188
2012	30	183
2012	31	165
2013	1	222
2013	2	195
2013	3	206
2013	4	173
2013	5	118
2013	6	120
2013	7	243
2013	8	260
2013	9	195
2013	10	221
2013	11	167
2013	12	96
2013	13	111
2013	14	254
2013	15	197
2013	16	202
2013	17	194
2013	18	161
2013	19	107
2013	20	136
2013	21	235
2013	22	202
2013	23	195
2013	24	208
2013	25	177
2013	26	97
2013	27	102
2013	28	165
2013	29	175
2013	30	171
2013	31	194
2014	1	204
2014	2	200
2014	3	138
2014	4	104
2014	5	97
2014	6	212
2014	7	242
2014	8	208
2014	9	235
2014	10	131
2014	11	91
2014	12	95
2014	13	221
2014	14	205
2014	15	179
2014	16	190
2014	17	156
2014	18	104
2014	19	95
2014	20	184
2014	21	211
2014	22	200
2014	23	184
2014	24	157
2014	25	111
2014	26	120
2014	27	197
2014	28	181
2014	29	197
2014	30	185
2014	31	135
