%Ano	Dia	Outubro_J
2008	1	173
2008	2	172
2008	3	169
2008	4	119
2008	5	82
2008	6	165
2008	7	148
2008	8	134
2008	9	125
2008	10	123
2008	11	87
2008	12	74
2008	13	154
2008	14	165
2008	15	159
2008	16	155
2008	17	153
2008	18	97
2008	19	60
2008	20	147
2008	21	156
2008	22	122
2008	23	135
2008	24	150
2008	25	92
2008	26	89
2008	27	136
2008	28	144
2008	29	104
2008	30	138
2008	31	114
2009	1	182
2009	2	159
2009	3	110
2009	4	124
2009	5	173
2009	6	180
2009	7	179
2009	8	166
2009	9	123
2009	10	100
2009	11	94
2009	12	96
2009	13	187
2009	14	151
2009	15	166
2009	16	144
2009	17	103
2009	18	86
2009	19	165
2009	20	176
2009	21	168
2009	22	189
2009	23	135
2009	24	92
2009	25	97
2009	26	143
2009	27	175
2009	28	137
2009	29	146
2009	30	107
2009	31	97
2010	1	163
2010	2	106
2010	3	121
2010	4	184
2010	5	148
2010	6	148
2010	7	148
2010	8	154
2010	9	105
2010	10	94
2010	11	137
2010	12	146
2010	13	179
2010	14	168
2010	15	170
2010	16	138
2010	17	114
2010	18	208
2010	19	166
2010	20	185
2010	21	148
2010	22	153
2010	23	141
2010	24	127
2010	25	185
2010	26	185
2010	27	153
2010	28	176
2010	29	153
2010	30	138
2010	31	117
2011	1	146
2011	2	108
2011	3	175
2011	4	156
2011	5	156
2011	6	161
2011	7	152
2011	8	112
2011	9	107
2011	10	187
2011	11	197
2011	12	96
2011	13	149
2011	14	155
2011	15	98
2011	16	81
2011	17	135
2011	18	164
2011	19	139
2011	20	167
2011	21	136
2011	22	103
2011	23	98
2011	24	163
2011	25	187
2011	26	157
2011	27	166
2011	28	140
2011	29	140
2011	30	82
2011	31	162
2012	1	156
2012	2	126
2012	3	145
2012	4	157
2012	5	135
2012	6	84
2012	7	97
2012	8	149
2012	9	163
2012	10	137
2012	11	125
2012	12	85
2012	13	87
2012	14	79
2012	15	147
2012	16	127
2012	17	128
2012	18	151
2012	19	133
2012	20	74
2012	21	96
2012	22	157
2012	23	147
2012	24	117
2012	25	138
2012	26	111
2012	27	103
2012	28	92
2012	29	125
2012	30	158
2012	31	123
2013	1	200
2013	2	159
2013	3	171
2013	4	151
2013	5	105
2013	6	98
2013	7	149
2013	8	142
2013	9	146
2013	10	168
2013	11	148
2013	12	111
2013	13	111
2013	14	153
2013	15	169
2013	16	169
2013	17	197
2013	18	166
2013	19	82
2013	20	99
2013	21	194
2013	22	174
2013	23	142
2013	24	177
2013	25	152
2013	26	88
2013	27	81
2013	28	114
2013	29	152
2013	30	133
2013	31	130
2014	1	175
2014	2	154
2014	3	116
2014	4	98
2014	5	84
2014	6	162
2014	7	162
2014	8	165
2014	9	152
2014	10	129
2014	11	108
2014	12	130
2014	13	215
2014	14	197
2014	15	165
2014	16	197
2014	17	123
2014	18	105
2014	19	105
2014	20	152
2014	21	137
2014	22	128
2014	23	124
2014	24	107
2014	25	78
2014	26	97
2014	27	114
2014	28	147
2014	29	136
2014	30	117
2014	31	80
