%Ano	Dia	Novembro_I
2008	1	66
2008	2	70
2008	3	131
2008	4	130
2008	5	116
2008	6	111
2008	7	112
2008	8	60
2008	9	76
2008	10	106
2008	11	122
2008	12	135
2008	13	119
2008	14	88
2008	15	54
2008	16	72
2008	17	97
2008	18	109
2008	19	95
2008	20	79
2008	21	75
2008	22	47
2008	23	61
2008	24	110
2008	25	114
2008	26	115
2008	27	105
2008	28	97
2008	29	57
2008	30	75
2009	1	88
2009	2	98
2009	3	154
2009	4	158
2009	5	148
2009	6	126
2009	7	81
2009	8	99
2009	9	150
2009	10	157
2009	11	146
2009	12	126
2009	13	122
2009	14	87
2009	15	92
2009	16	47
2009	17	131
2009	18	145
2009	19	92
2009	20	76
2009	21	62
2009	22	84
2009	23	126
2009	24	117
2009	25	115
2009	26	88
2009	27	94
2009	28	48
2009	29	73
2009	30	96
2010	1	126
2010	2	124
2010	3	159
2010	4	170
2010	5	142
2010	6	95
2010	7	89
2010	8	168
2010	9	139
2010	10	136
2010	11	149
2010	12	136
2010	13	87
2010	14	72
2010	15	105
2010	16	132
2010	17	157
2010	18	151
2010	19	151
2010	20	85
2010	21	103
2010	22	139
2010	23	131
2010	24	156
2010	25	128
2010	26	147
2010	27	78
2010	28	90
2010	29	139
2010	30	151
2011	1	162
2011	2	129
2011	3	167
2011	4	159
2011	5	111
2011	6	104
2011	7	168
2011	8	188
2011	9	141
2011	10	178
2011	11	118
2011	12	87
2011	13	90
2011	14	100
2011	15	97
2011	16	168
2011	17	157
2011	18	120
2011	19	91
2011	20	105
2011	21	164
2011	22	156
2011	23	149
2011	24	181
2011	25	128
2011	26	98
2011	27	71
2011	28	166
2011	29	151
2011	30	144
2012	1	142
2012	2	90
2012	3	75
2012	4	108
2012	5	201
2012	6	191
2012	7	145
2012	8	145
2012	9	131
2012	10	102
2012	11	108
2012	12	172
2012	13	149
2012	14	136
2012	15	97
2012	16	100
2012	17	88
2012	18	104
2012	19	137
2012	20	118
2012	21	166
2012	22	170
2012	23	123
2012	24	79
2012	25	111
2012	26	155
2012	27	130
2012	28	142
2012	29	122
2012	30	113
2013	1	203
2013	2	102
2013	3	112
2013	4	199
2013	5	198
2013	6	178
2013	7	231
2013	8	157
2013	9	101
2013	10	145
2013	11	225
2013	12	201
2013	13	209
2013	14	187
2013	15	101
2013	16	105
2013	17	106
2013	18	226
2013	19	186
2013	20	151
2013	21	187
2013	22	133
2013	23	98
2013	24	127
2013	25	212
2013	26	185
2013	27	187
2013	28	209
2013	29	143
2013	30	113
2014	1	89
2014	2	110
2014	3	182
2014	4	160
2014	5	178
2014	6	185
2014	7	148
2014	8	100
2014	9	104
2014	10	190
2014	11	184
2014	12	188
2014	13	154
2014	14	113
2014	15	85
2014	16	106
2014	17	183
2014	18	165
2014	19	155
2014	20	98
2014	21	103
2014	22	84
2014	23	98
2014	24	189
2014	25	149
2014	26	152
2014	27	159
2014	28	117
2014	29	65
2014	30	81
