%Ano	Dia	Novembro_J
2008	1	65
2008	2	76
2008	3	101
2008	4	128
2008	5	113
2008	6	107
2008	7	97
2008	8	98
2008	9	70
2008	10	123
2008	11	121
2008	12	112
2008	13	122
2008	14	108
2008	15	57
2008	16	62
2008	17	95
2008	18	103
2008	19	86
2008	20	60
2008	21	87
2008	22	84
2008	23	72
2008	24	110
2008	25	107
2008	26	89
2008	27	103
2008	28	91
2008	29	95
2008	30	68
2009	1	104
2009	2	104
2009	3	142
2009	4	155
2009	5	163
2009	6	111
2009	7	94
2009	8	88
2009	9	128
2009	10	122
2009	11	116
2009	12	131
2009	13	129
2009	14	82
2009	15	91
2009	16	101
2009	17	138
2009	18	121
2009	19	100
2009	20	84
2009	21	74
2009	22	54
2009	23	109
2009	24	131
2009	25	117
2009	26	107
2009	27	92
2009	28	70
2009	29	63
2009	30	90
2010	1	164
2010	2	146
2010	3	168
2010	4	148
2010	5	137
2010	6	95
2010	7	119
2010	8	167
2010	9	154
2010	10	137
2010	11	135
2010	12	119
2010	13	116
2010	14	79
2010	15	117
2010	16	123
2010	17	147
2010	18	133
2010	19	127
2010	20	99
2010	21	102
2010	22	160
2010	23	157
2010	24	140
2010	25	121
2010	26	102
2010	27	82
2010	28	78
2010	29	128
2010	30	130
2011	1	144
2011	2	109
2011	3	159
2011	4	130
2011	5	108
2011	6	87
2011	7	152
2011	8	165
2011	9	157
2011	10	160
2011	11	137
2011	12	99
2011	13	107
2011	14	109
2011	15	106
2011	16	120
2011	17	150
2011	18	86
2011	19	88
2011	20	97
2011	21	137
2011	22	139
2011	23	110
2011	24	126
2011	25	100
2011	26	95
2011	27	65
2011	28	101
2011	29	153
2011	30	102
2012	1	136
2012	2	96
2012	3	82
2012	4	83
2012	5	133
2012	6	143
2012	7	124
2012	8	139
2012	9	103
2012	10	75
2012	11	79
2012	12	114
2012	13	125
2012	14	81
2012	15	85
2012	16	101
2012	17	72
2012	18	78
2012	19	119
2012	20	87
2012	21	115
2012	22	141
2012	23	111
2012	24	109
2012	25	87
2012	26	125
2012	27	89
2012	28	110
2012	29	111
2012	30	86
2013	1	156
2013	2	101
2013	3	111
2013	4	153
2013	5	157
2013	6	137
2013	7	170
2013	8	149
2013	9	126
2013	10	138
2013	11	165
2013	12	172
2013	13	160
2013	14	163
2013	15	130
2013	16	94
2013	17	96
2013	18	176
2013	19	166
2013	20	136
2013	21	164
2013	22	123
2013	23	102
2013	24	81
2013	25	155
2013	26	144
2013	27	140
2013	28	149
2013	29	124
2013	30	94
2014	1	102
2014	2	108
2014	3	154
2014	4	154
2014	5	115
2014	6	123
2014	7	121
2014	8	70
2014	9	89
2014	10	127
2014	11	138
2014	12	138
2014	13	136
2014	14	111
2014	15	95
2014	16	102
2014	17	121
2014	18	124
2014	19	109
2014	20	105
2014	21	108
2014	22	79
2014	23	92
2014	24	132
2014	25	120
2014	26	111
2014	27	112
2014	28	86
2014	29	80
2014	30	61
