%Ano	Dia	Dezembro_I
2008	1	84
2008	2	81
2008	3	74
2008	4	78
2008	5	65
2008	6	37
2008	7	47
2008	8	83
2008	9	46
2008	10	63
2008	11	50
2008	12	43
2008	13	24
2008	14	32
2008	15	46
2008	16	44
2008	17	45
2008	18	30
2008	19	20
2008	20	11
2008	21	18
2008	22	19
2008	23	10
2008	24	8
2008	25	4
2008	26	7
2008	27	5
2008	28	3
2008	29	3
2009	1	86
2009	2	84
2009	3	86
2009	4	63
2009	5	38
2009	6	45
2009	7	65
2009	8	89
2009	9	84
2009	10	64
2009	11	63
2009	12	39
2009	13	47
2009	14	55
2009	15	32
2009	16	44
2009	17	45
2009	18	36
2009	19	24
2009	20	26
2009	21	28
2009	22	18
2009	23	15
2009	24	5
2009	25	8
2009	26	4
2009	27	4
2009	28	3
2009	29	7
2010	1	135
2010	2	125
2010	3	80
2010	4	77
2010	5	71
2010	6	107
2010	7	107
2010	8	118
2010	9	115
2010	10	92
2010	11	55
2010	12	70
2010	13	92
2010	14	84
2010	15	86
2010	16	76
2010	17	49
2010	18	42
2010	19	41
2010	20	72
2010	21	55
2010	22	34
2010	23	31
2010	24	18
2010	25	20
2010	26	22
2010	27	17
2010	28	18
2010	29	8
2010	30	6
2010	31	1
2011	1	135
2011	2	114
2011	3	75
2011	4	91
2011	5	143
2011	6	103
2011	7	123
2011	8	130
2011	9	83
2011	10	68
2011	11	73
2011	12	102
2011	13	109
2011	14	95
2011	15	82
2011	16	73
2011	17	58
2011	18	52
2011	19	70
2011	20	59
2011	21	42
2011	22	53
2011	23	17
2011	24	17
2011	25	21
2011	26	22
2011	27	17
2011	28	9
2011	29	9
2011	30	3
2011	31	1
2012	1	76
2012	2	78
2012	3	150
2012	4	126
2012	5	133
2012	6	102
2012	7	87
2012	8	57
2012	9	66
2012	10	137
2012	11	120
2012	12	103
2012	13	103
2012	14	50
2012	15	29
2012	16	50
2012	17	84
2012	18	56
2012	19	55
2012	20	42
2012	21	34
2012	22	21
2012	23	12
2012	24	9
2012	25	20
2012	26	24
2012	27	19
2012	28	8
2012	29	4
2012	30	3
2012	31	3
2013	1	128
2013	2	204
2013	3	188
2013	4	224
2013	5	186
2013	6	176
2013	7	91
2013	8	102
2013	9	209
2013	10	192
2013	11	189
2013	12	192
2013	13	155
2013	14	101
2013	15	104
2013	16	197
2013	17	165
2013	18	198
2013	19	167
2013	20	146
2013	21	95
2013	22	83
2013	23	99
2013	24	89
2013	25	84
2013	26	192
2013	27	128
2013	28	93
2013	29	77
2013	30	86
2013	31	70
2014	1	178
2014	2	156
2014	3	141
2014	4	133
2014	5	97
2014	6	66
2014	7	72
2014	8	131
2014	9	144
2014	10	142
2014	11	106
2014	12	74
2014	13	43
2014	14	59
2014	15	101
2014	16	93
2014	17	79
2014	18	76
2014	19	57
2014	20	27
2014	21	25
2014	22	52
2014	23	24
2014	24	12
2014	25	16
2014	26	15
2014	27	10
2014	28	12
2014	29	2
