%Ano	Dia	Dezembro_J
2008	1	97
2008	2	108
2008	3	80
2008	4	99
2008	5	75
2008	6	66
2008	7	58
2008	8	67
2008	9	86
2008	10	60
2008	11	80
2008	12	55
2008	13	65
2008	14	38
2008	15	40
2008	16	75
2008	17	36
2008	18	56
2008	19	28
2008	20	40
2008	21	26
2008	22	20
2008	23	25
2008	24	11
2008	25	8
2008	26	14
2008	27	5
2008	28	7
2008	29	7
2008	30	3
2008	31	2
2009	1	103
2009	2	88
2009	3	97
2009	4	82
2009	5	45
2009	6	44
2009	7	84
2009	8	70
2009	9	70
2009	10	70
2009	11	54
2009	12	49
2009	13	44
2009	14	58
2009	15	68
2009	16	58
2009	17	58
2009	18	44
2009	19	47
2009	20	40
2009	21	31
2009	22	29
2009	23	23
2009	24	22
2009	25	14
2009	26	16
2009	27	11
2009	28	9
2009	29	4
2009	30	1
2010	1	120
2010	2	119
2010	3	121
2010	4	88
2010	5	61
2010	6	107
2010	7	117
2010	8	105
2010	9	93
2010	10	84
2010	11	71
2010	12	76
2010	13	88
2010	14	86
2010	15	57
2010	16	66
2010	17	83
2010	18	51
2010	19	51
2010	20	51
2010	21	48
2010	22	39
2010	23	41
2010	24	25
2010	25	38
2010	26	30
2010	27	33
2010	28	17
2010	29	7
2010	30	4
2011	1	135
2011	2	93
2011	3	72
2011	4	72
2011	5	109
2011	6	131
2011	7	107
2011	8	115
2011	9	90
2011	10	71
2011	11	57
2011	12	99
2011	13	106
2011	14	87
2011	15	92
2011	16	71
2011	17	46
2011	18	59
2011	19	83
2011	20	51
2011	21	47
2011	22	57
2011	23	35
2011	24	15
2011	25	12
2011	26	17
2011	27	17
2011	28	9
2011	29	4
2011	30	3
2011	31	1
2012	1	61
2012	2	66
2012	3	107
2012	4	120
2012	5	99
2012	6	124
2012	7	86
2012	8	51
2012	9	58
2012	10	87
2012	11	95
2012	12	90
2012	13	88
2012	14	54
2012	15	44
2012	16	31
2012	17	51
2012	18	55
2012	19	25
2012	20	34
2012	21	37
2012	22	14
2012	23	20
2012	24	22
2012	25	22
2012	26	22
2012	27	14
2012	28	4
2012	29	5
2012	30	3
2013	1	102
2013	2	141
2013	3	162
2013	4	126
2013	5	164
2013	6	123
2013	7	101
2013	8	102
2013	9	149
2013	10	145
2013	11	119
2013	12	165
2013	13	127
2013	14	85
2013	15	85
2013	16	161
2013	17	149
2013	18	108
2013	19	135
2013	20	99
2013	21	85
2013	22	87
2013	23	79
2013	24	63
2013	25	89
2013	26	123
2013	27	96
2013	28	97
2013	29	62
2013	30	75
2013	31	74
2014	1	120
2014	2	124
2014	3	105
2014	4	93
2014	5	57
2014	6	63
2014	7	75
2014	8	97
2014	9	108
2014	10	101
2014	11	108
2014	12	63
2014	13	46
2014	14	32
2014	15	67
2014	16	69
2014	17	44
2014	18	60
2014	19	40
2014	20	40
2014	21	25
2014	22	29
2014	23	18
2014	24	15
2014	25	16
2014	26	19
2014	27	8
2014	28	11
2014	29	2
