Estado SP;2008;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
São Paulo;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Janeiro;;Fevereiro;;Março;;Abril;;Maio;;Junho;;Julho;;Agosto;;Setembro;;Outubro;;Novembro;;Dezembro;
;I;J;I;J;I;J;I;J;I;J;I;J;I;J;I;J;I;J;I;J;I;J;I;J
1;598;159;181;114;206;125;196;204;91;155;144;100;194;192;150;180;207;171;176;173;66;65;84;97
2;165;91;87;61;104;105;179;181;120;127;211;135;202;198;111;111;208;179;158;172;70;76;81;108
3;165;95;89;67;197;172;156;197;97;154;173;182;209;163;108;127;210;183;157;169;131;101;74;80
4;129;87;113;87;164;157;132;199;132;135;182;150;180;164;209;163;183;175;89;119;130;128;78;99
5;88;66;112;64;184;171;74;170;196;176;209;165;124;93;176;185;152;174;109;82;116;113;65;75
6;100;68;162;88;155;165;120;142;194;193;137;152;116;125;178;157;81;115;155;165;111;107;37;66
7;159;97;171;134;109;155;182;241;212;177;120;129;190;164;191;135;118;140;144;148;112;97;47;58
8;159;126;157;100;82;132;171;212;183;201;117;135;183;183;148;147;157;196;141;134;60;98;83;67
9;153;95;88;67;100;124;183;219;144;161;197;147;132;144;109;116;169;152;154;125;76;70;46;86
10;141;123;82;76;181;206;158;234;106;141;193;191;176;185;112;105;206;155;147;123;106;123;63;60
11;137;98;187;110;179;170;153;179;115;138;189;148;161;174;213;175;171;175;79;87;122;121;50;80
12;97;65;193;123;142;189;67;157;139;166;135;153;105;129;207;157;159;192;90;74;135;112;43;55
13;99;48;67;105;148;179;120;165;178;186;180;167;116;125;215;165;96;110;191;154;119;122;24;65
14;201;75;153;124;133;155;183;188;196;191;108;129;207;186;183;156;96;111;172;165;88;108;32;38
15;173;107;149;121;92;137;169;214;201;181;105;99;196;156;156;154;171;126;174;159;54;57;46;40
16;144;87;128;73;113;95;199;201;181;191;183;137;203;166;114;133;182;128;148;155;72;62;44;75
17;156;105;114;76;179;163;174;200;117;146;194;179;199;183;125;115;156;149;151;153;97;95;45;36
18;118;86;178;106;190;166;153;186;104;145;180;170;168;168;220;162;172;147;84;97;109;103;30;56
19;80;62;185;123;172;174;76;159;216;211;177;152;130;112;196;184;111;110;86;60;95;86;20;28
20;94;65;82;120;155;144;72;159;182;242;154;155;127;122;179;182;81;104;147;147;79;60;11;40
21;186;96;150;137;78;129;124;138;159;171;113;112;211;208;184;169;101;99;156;156;75;87;18;26
22;177;82;142;110;91;127;177;226;126;170;118;112;213;173;145;184;156;163;169;122;47;84;19;20
23;159;78;88;111;108;130;172;217;129;160;172;141;196;165;101;120;173;170;145;135;61;72;10;25
24;130;94;103;95;199;240;204;234;102;149;187;158;191;157;114;95;159;117;134;150;110;110;8;11
25;98;54;185;160;177;214;169;194;126;144;195;151;177;162;205;168;183;120;61;92;114;107;4;8
26;80;64;154;157;162;201;115;198;216;179;224;137;102;94;184;170;134;147;85;89;115;89;7;14
27;87;47;158;150;176;173;116;130;192;195;177;143;115;103;175;160;94;120;121;136;105;103;5;5
28;167;79;166;172;161;199;154;205;202;185;135;135;204;185;176;167;96;104;115;144;97;91;3;7
29;122;97;133;141;86;159;173;195;193;176;130;119;171;175;155;160;173;157;121;104;57;95;3;7
30;155;102;136;109;99;125;145;194;142;173;179;203;158;180;86;120;191;171;118;138;75;68;0;3
31;171;108;136;109;179;208;149;191;98;137;164;146;173;184;124;103;152;145;105;114;93;94;0;2
