%Internação por Cardio	Internação por Pulm
598	159
165	91
165	95
129	87
88	66
100	68
159	97
159	126
153	95
141	123
137	98
97	65
99	48
201	75
173	107
144	87
156	105
118	86
80	62
94	65
186	96
177	82
159	78
130	94
98	54
80	64
87	47
167	79
122	97
155	102
171	108
181	114
87	61
89	67
113	87
112	64
162	88
171	134
157	100
88	67
82	76
187	110
193	123
67	105
153	124
149	121
128	73
114	76
178	106
185	123
82	120
150	137
142	110
88	111
103	95
185	160
154	157
158	150
166	172
133	141
206	125
104	105
197	172
164	157
184	171
155	165
109	155
82	132
100	124
181	206
179	170
142	189
148	179
133	155
92	137
113	95
179	163
190	166
172	174
155	144
78	129
91	127
108	130
199	240
177	214
162	201
176	173
161	199
86	159
99	125
179	208
196	204
179	181
156	197
132	199
74	170
120	142
182	241
171	212
183	219
158	234
153	179
67	157
120	165
183	188
169	214
199	201
174	200
153	186
76	159
72	159
124	138
177	226
172	217
204	234
169	194
115	198
116	130
154	205
173	195
145	194
91	155
120	127
97	154
132	135
196	176
194	193
212	177
183	201
144	161
106	141
115	138
139	166
178	186
196	191
201	181
181	191
117	146
104	145
216	211
182	242
159	171
126	170
129	160
102	149
126	144
216	179
192	195
202	185
193	176
142	173
98	137
144	100
211	135
173	182
182	150
209	165
137	152
120	129
117	135
197	147
193	191
189	148
135	153
180	167
108	129
105	99
183	137
194	179
180	170
177	152
154	155
113	112
118	112
172	141
187	158
195	151
224	137
177	143
135	135
130	119
179	203
194	192
202	198
209	163
180	164
124	93
116	125
190	164
183	183
132	144
176	185
161	174
105	129
116	125
207	186
196	156
203	166
199	183
168	168
130	112
127	122
211	208
213	173
196	165
191	157
177	162
102	94
115	103
204	185
171	175
158	180
173	184
150	180
111	111
108	127
209	163
176	185
178	157
191	135
148	147
109	116
112	105
213	175
207	157
215	165
183	156
156	154
114	133
125	115
220	162
196	184
179	182
184	169
145	184
101	120
114	95
205	168
184	170
175	160
176	167
155	160
86	120
124	103
207	171
208	179
210	183
183	175
152	174
81	115
118	140
157	196
169	152
206	155
171	175
159	192
96	110
96	111
171	126
182	128
156	149
172	147
111	110
81	104
101	99
156	163
173	170
159	117
183	120
134	147
94	120
96	104
173	157
191	171
176	173
158	172
157	169
89	119
109	82
155	165
144	148
141	134
154	125
147	123
79	87
90	74
191	154
172	165
174	159
148	155
151	153
84	97
86	60
147	147
156	156
169	122
145	135
134	150
61	92
85	89
121	136
115	144
121	104
118	138
105	114
66	65
70	76
131	101
130	128
116	113
111	107
112	97
60	98
76	70
106	123
122	121
135	112
119	122
88	108
54	57
72	62
97	95
109	103
95	86
79	60
75	87
47	84
61	72
110	110
114	107
115	89
105	103
97	91
57	95
75	68
84	97
81	108
74	80
78	99
65	75
37	66
47	58
83	67
46	86
63	60
50	80
43	55
24	65
32	38
46	40
44	75
45	36
30	56
20	28
11	40
18	26
19	20
10	25
8	11
4	8
7	14
5	5
3	7
3	7
0	3
0	2
