Categoria: Todas as categorias

Tempo,covid-19: (Brasil),H1N1: (Brasil),Influenza: (Brasil)
2020-03-24T09,25,21,7
2020-03-24T10,24,19,8
2020-03-24T11,27,18,7
2020-03-24T12,24,20,7
2020-03-24T13,23,19,8
2020-03-24T14,24,17,7
2020-03-24T15,23,16,5
2020-03-24T16,23,17,6
2020-03-24T17,25,19,6
2020-03-24T18,22,19,6
2020-03-24T19,23,21,6
2020-03-24T20,23,25,6
2020-03-24T21,25,47,6
2020-03-24T22,23,76,6
2020-03-24T23,24,91,6
2020-03-25T00,28,99,7
2020-03-25T01,29,89,6
2020-03-25T02,26,70,6
2020-03-25T03,26,57,5
2020-03-25T04,27,48,5
2020-03-25T05,26,49,6
2020-03-25T06,30,64,7
2020-03-25T07,29,75,8
2020-03-25T08,29,89,8
2020-03-25T09,27,98,8
2020-03-25T10,29,100,8
2020-03-25T11,26,93,7
2020-03-25T12,28,96,7
2020-03-25T13,25,99,8
2020-03-25T14,27,81,7
2020-03-25T15,26,69,6
2020-03-25T16,26,63,6
2020-03-25T17,28,70,6
2020-03-25T18,23,56,5
2020-03-25T19,21,72,6
2020-03-25T20,22,76,6
2020-03-25T21,22,77,6
2020-03-25T22,21,64,5
2020-03-25T23,21,56,4
2020-03-26T00,22,50,4
2020-03-26T01,24,49,4
2020-03-26T02,20,41,3
2020-03-26T03,22,35,3
2020-03-26T04,22,36,3
2020-03-26T05,25,43,5
2020-03-26T06,28,53,5
2020-03-26T07,29,56,7
2020-03-26T08,27,56,7
2020-03-26T09,24,53,6
2020-03-26T10,24,50,6
2020-03-26T11,23,43,5
2020-03-26T12,23,43,6
2020-03-26T13,25,41,5
2020-03-26T14,36,34,5
2020-03-26T15,34,29,4
2020-03-26T16,34,30,5
2020-03-26T17,39,36,5
2020-03-26T18,40,35,4
2020-03-26T19,42,39,5
2020-03-26T20,42,44,15
2020-03-26T21,39,36,6
2020-03-26T22,37,30,4
2020-03-26T23,33,26,4
2020-03-27T00,34,27,4
2020-03-27T01,39,27,8
2020-03-27T02,36,22,4
2020-03-27T03,37,19,3
2020-03-27T04,40,20,5
2020-03-27T05,46,21,5
2020-03-27T06,49,26,5
2020-03-27T07,36,28,6
2020-03-27T08,32,28,8
2020-03-27T09,28,23,6
2020-03-27T10,28,20,5
2020-03-27T11,29,20,5
2020-03-27T12,29,20,5
2020-03-27T13,29,24,9
2020-03-27T14,31,16,5
2020-03-27T15,30,17,4
2020-03-27T16,33,17,4
2020-03-27T17,35,20,4
2020-03-27T18,32,20,4
2020-03-27T19,32,22,5
2020-03-27T20,33,23,5
2020-03-27T21,30,21,4
2020-03-27T22,27,20,3
2020-03-27T23,28,21,3
2020-03-28T00,31,22,4
2020-03-28T01,28,19,3
2020-03-28T02,27,16,3
2020-03-28T03,29,15,3
2020-03-28T04,30,14,3
2020-03-28T05,29,15,2
2020-03-28T06,34,17,4
2020-03-28T07,37,20,4
2020-03-28T08,34,24,5
2020-03-28T09,32,22,4
2020-03-28T10,30,20,4
2020-03-28T11,29,18,4
2020-03-28T12,29,19,4
2020-03-28T13,30,19,5
2020-03-28T14,25,16,3
2020-03-28T15,24,14,3
2020-03-28T16,26,14,3
2020-03-28T17,28,16,3
2020-03-28T18,27,16,3
2020-03-28T19,27,17,4
2020-03-28T20,28,19,3
2020-03-28T21,26,17,3
2020-03-28T22,24,13,2
2020-03-28T23,24,13,3
2020-03-29T00,27,14,2
2020-03-29T01,27,12,2
2020-03-29T02,27,11,2
2020-03-29T03,26,12,3
2020-03-29T04,27,10,2
2020-03-29T05,29,11,2
2020-03-29T06,32,12,2
2020-03-29T07,33,11,3
2020-03-29T08,35,14,3
2020-03-29T09,31,13,2
2020-03-29T10,28,14,3
2020-03-29T11,28,12,3
2020-03-29T12,25,11,2
2020-03-29T13,24,11,2
2020-03-29T14,23,10,2
2020-03-29T15,23,10,2
2020-03-29T16,26,10,2
2020-03-29T17,27,11,2
2020-03-29T18,26,10,2
2020-03-29T19,26,12,2
2020-03-29T20,38,16,3
2020-03-29T21,38,19,6
2020-03-29T22,31,14,3
2020-03-29T23,24,10,2
2020-03-30T00,22,8,2
2020-03-30T01,24,8,2
2020-03-30T02,24,7,2
2020-03-30T03,23,8,2
2020-03-30T04,25,9,2
2020-03-30T05,28,8,2
2020-03-30T06,33,10,2
2020-03-30T07,35,12,5
2020-03-30T08,30,14,4
2020-03-30T09,28,12,3
2020-03-30T10,29,11,4
2020-03-30T11,29,10,3
2020-03-30T12,28,12,4
2020-03-30T13,28,11,3
2020-03-30T14,27,10,3
2020-03-30T15,25,9,3
2020-03-30T16,25,9,3
2020-03-30T17,27,9,3
2020-03-30T18,24,10,3
2020-03-30T19,23,11,3
2020-03-30T20,23,11,3
2020-03-30T21,21,10,2
2020-03-30T22,19,9,2
2020-03-30T23,20,7,2
2020-03-31T00,22,8,2
2020-03-31T01,21,9,2
2020-03-31T02,20,9,2
2020-03-31T03,22,6,2
2020-03-31T04,23,7,2
2020-03-31T05,24,7,3
2020-03-31T06,28,9,3
2020-03-31T07,28,10,3
2020-03-31T08,28,10,3
