%ano	mes	dia	hora	covid19(Brasil)	H1N1(Brasil)	Influenza A and B(Brasil)
2020	03	24	09	25	21	7
2020	03	24	10	24	19	8
2020	03	24	11	27	18	7
2020	03	24	12	24	20	7
2020	03	24	13	23	19	8
2020	03	24	14	24	17	7
2020	03	24	15	23	16	5
2020	03	24	16	23	17	6
2020	03	24	17	25	19	6
2020	03	24	18	22	19	6
2020	03	24	19	23	21	6
2020	03	24	20	23	25	6
2020	03	24	21	25	47	6
2020	03	24	22	23	76	6
2020	03	24	23	24	91	6
2020	03	25	00	28	99	7
2020	03	25	01	29	89	6
2020	03	25	02	26	70	6
2020	03	25	03	26	57	5
2020	03	25	04	27	48	5
2020	03	25	05	26	49	6
2020	03	25	06	30	64	7
2020	03	25	07	29	75	8
2020	03	25	08	29	89	8
2020	03	25	09	27	98	8
2020	03	25	10	29	100	8
2020	03	25	11	26	93	7
2020	03	25	12	28	96	7
2020	03	25	13	25	99	8
2020	03	25	14	27	81	7
2020	03	25	15	26	69	6
2020	03	25	16	26	63	6
2020	03	25	17	28	70	6
2020	03	25	18	23	56	5
2020	03	25	19	21	72	6
2020	03	25	20	22	76	6
2020	03	25	21	22	77	6
2020	03	25	22	21	64	5
2020	03	25	23	21	56	4
2020	03	26	00	22	50	4
2020	03	26	01	24	49	4
2020	03	26	02	20	41	3
2020	03	26	03	22	35	3
2020	03	26	04	22	36	3
2020	03	26	05	25	43	5
2020	03	26	06	28	53	5
2020	03	26	07	29	56	7
2020	03	26	08	27	56	7
2020	03	26	09	24	53	6
2020	03	26	10	24	50	6
2020	03	26	11	23	43	5
2020	03	26	12	23	43	6
2020	03	26	13	25	41	5
2020	03	26	14	36	34	5
2020	03	26	15	34	29	4
2020	03	26	16	34	30	5
2020	03	26	17	39	36	5
2020	03	26	18	40	35	4
2020	03	26	19	42	39	5
2020	03	26	20	42	44	15
2020	03	26	21	39	36	6
2020	03	26	22	37	30	4
2020	03	26	23	33	26	4
2020	03	27	00	34	27	4
2020	03	27	01	39	27	8
2020	03	27	02	36	22	4
2020	03	27	03	37	19	3
2020	03	27	04	40	20	5
2020	03	27	05	46	21	5
2020	03	27	06	49	26	5
2020	03	27	07	36	28	6
2020	03	27	08	32	28	8
2020	03	27	09	28	23	6
2020	03	27	10	28	20	5
2020	03	27	11	29	20	5
2020	03	27	12	29	20	5
2020	03	27	13	29	24	9
2020	03	27	14	31	16	5
2020	03	27	15	30	17	4
2020	03	27	16	33	17	4
2020	03	27	17	35	20	4
2020	03	27	18	32	20	4
2020	03	27	19	32	22	5
2020	03	27	20	33	23	5
2020	03	27	21	30	21	4
2020	03	27	22	27	20	3
2020	03	27	23	28	21	3
2020	03	28	00	31	22	4
2020	03	28	01	28	19	3
2020	03	28	02	27	16	3
2020	03	28	03	29	15	3
2020	03	28	04	30	14	3
2020	03	28	05	29	15	2
2020	03	28	06	34	17	4
2020	03	28	07	37	20	4
2020	03	28	08	34	24	5
2020	03	28	09	32	22	4
2020	03	28	10	30	20	4
2020	03	28	11	29	18	4
2020	03	28	12	29	19	4
2020	03	28	13	30	19	5
2020	03	28	14	25	16	3
2020	03	28	15	24	14	3
2020	03	28	16	26	14	3
2020	03	28	17	28	16	3
2020	03	28	18	27	16	3
2020	03	28	19	27	17	4
2020	03	28	20	28	19	3
2020	03	28	21	26	17	3
2020	03	28	22	24	13	2
2020	03	28	23	24	13	3
2020	03	29	00	27	14	2
2020	03	29	01	27	12	2
2020	03	29	02	27	11	2
2020	03	29	03	26	12	3
2020	03	29	04	27	10	2
2020	03	29	05	29	11	2
2020	03	29	06	32	12	2
2020	03	29	07	33	11	3
2020	03	29	08	35	14	3
2020	03	29	09	31	13	2
2020	03	29	10	28	14	3
2020	03	29	11	28	12	3
2020	03	29	12	25	11	2
2020	03	29	13	24	11	2
2020	03	29	14	23	10	2
2020	03	29	15	23	10	2
2020	03	29	16	26	10	2
2020	03	29	17	27	11	2
2020	03	29	18	26	10	2
2020	03	29	19	26	12	2
2020	03	29	20	38	16	3
2020	03	29	21	38	19	6
2020	03	29	22	31	14	3
2020	03	29	23	24	10	2
2020	03	30	00	22	8	2
2020	03	30	01	24	8	2
2020	03	30	02	24	7	2
2020	03	30	03	23	8	2
2020	03	30	04	25	9	2
2020	03	30	05	28	8	2
2020	03	30	06	33	10	2
2020	03	30	07	35	12	5
2020	03	30	08	30	14	4
2020	03	30	09	28	12	3
2020	03	30	10	29	11	4
2020	03	30	11	29	10	3
2020	03	30	12	28	12	4
2020	03	30	13	28	11	3
2020	03	30	14	27	10	3
2020	03	30	15	25	9	3
2020	03	30	16	25	9	3
2020	03	30	17	27	9	3
2020	03	30	18	24	10	3
2020	03	30	19	23	11	3
2020	03	30	20	23	11	3
2020	03	30	21	21	10	2
2020	03	30	22	19	9	2
2020	03	30	23	20	7	2
2020	03	31	00	22	8	2
2020	03	31	01	21	9	2
2020	03	31	02	20	9	2
2020	03	31	03	22	6	2
2020	03	31	04	23	7	2
2020	03	31	05	24	7	3
2020	03	31	06	28	9	3
2020	03	31	07	28	10	3
2020	03	31	08	28	10	3
